,character,quote,scene,location,view,episode,date,series
0,PICARD,"   Time, Mister Data?",2    INT. MAIN BRIDGE,MAIN BRIDGE,INT.,"""The Next Phase""",1992-03-15,The Next Generation
1,DATA,   We will be within transporter   range in three minutes twenty-one   seconds.,2    INT. MAIN BRIDGE,MAIN BRIDGE,INT.,"""The Next Phase""",1992-03-15,The Next Generation
2,MCDOWELL,       I've finally established audio   contact with the Romulan ship.,2    INT. MAIN BRIDGE,MAIN BRIDGE,INT.,"""The Next Phase""",1992-03-15,The Next Generation
3,ROMULAN COM,       ... main power failing... no way   to... any ship...,2    INT. MAIN BRIDGE,MAIN BRIDGE,INT.,"""The Next Phase""",1992-03-15,The Next Generation
4,PICARD,"       Romulan ship, this is the   Enterprise. We are en route to   your position.",2    INT. MAIN BRIDGE,MAIN BRIDGE,INT.,"""The Next Phase""",1992-03-15,The Next Generation
5,ROMULAN COM,       ... Enterprise... critical that   you... core breach imminent...,2    INT. MAIN BRIDGE,MAIN BRIDGE,INT.,"""The Next Phase""",1992-03-15,The Next Generation
6,PICARD,   Repeat your last transmission.,2    INT. MAIN BRIDGE,MAIN BRIDGE,INT.,"""The Next Phase""",1992-03-15,The Next Generation
7,MCDOWELL,"   Sorry, Captain. They've stopped   transmitting.",2    INT. MAIN BRIDGE,MAIN BRIDGE,INT.,"""The Next Phase""",1992-03-15,The Next Generation
8,PICARD,       Bridge to Commander Riker.,2    INT. MAIN BRIDGE,MAIN BRIDGE,INT.,"""The Next Phase""",1992-03-15,The Next Generation
9,RIKER,       Riker here.,3    INT. TRANSPORTER ROOM,TRANSPORTER ROOM,INT.,"""The Next Phase""",1992-03-15,The Next Generation
10,PICARD,   Number One... transport to the   Romulan vessel as soon as we're   in range.,3    INT. TRANSPORTER ROOM,TRANSPORTER ROOM,INT.,"""The Next Phase""",1992-03-15,The Next Generation
11,RIKER,"   Aye, sir.       No weapons. We don't want them   to think they're under attack.",3    INT. TRANSPORTER ROOM,TRANSPORTER ROOM,INT.,"""The Next Phase""",1992-03-15,The Next Generation
12,RO,       This is not a bright idea.,3    INT. TRANSPORTER ROOM,TRANSPORTER ROOM,INT.,"""The Next Phase""",1992-03-15,The Next Generation
13,RIKER,"       I beg your pardon, Ensign. I   didn't quite catch that.",3    INT. TRANSPORTER ROOM,TRANSPORTER ROOM,INT.,"""The Next Phase""",1992-03-15,The Next Generation
14,RO,"       Nothing, sir.",3    INT. TRANSPORTER ROOM,TRANSPORTER ROOM,INT.,"""The Next Phase""",1992-03-15,The Next Generation
15,RIKER,   We're from the Federation Starship   Enterprise. We received your   distress call.,6    INT. ROMULAN ENGINE ROOM (OPTICAL),ROMULAN ENGINE ROOM,INT.,"""The Next Phase""",1992-03-15,The Next Generation
16,MIROK,   The Enterprise... ?,6    INT. ROMULAN ENGINE ROOM (OPTICAL),ROMULAN ENGINE ROOM,INT.,"""The Next Phase""",1992-03-15,The Next Generation
17,RIKER,   That's right. Your message said   you'd suffered a failure in your   engine core.,6    INT. ROMULAN ENGINE ROOM (OPTICAL),ROMULAN ENGINE ROOM,INT.,"""The Next Phase""",1992-03-15,The Next Generation
18,MIROK,   Yes.,6    INT. ROMULAN ENGINE ROOM (OPTICAL),ROMULAN ENGINE ROOM,INT.,"""The Next Phase""",1992-03-15,The Next Generation
19,GEORDI,       Commander?,6    INT. ROMULAN ENGINE ROOM (OPTICAL),ROMULAN ENGINE ROOM,INT.,"""The Next Phase""",1992-03-15,The Next Generation
20,GEORDI,"       It's a pretty strange set-up, but   I think the graviton field   generator has completely   depolarized. We can't fix it,   it has to be replaced.",6    INT. ROMULAN ENGINE ROOM (OPTICAL),ROMULAN ENGINE ROOM,INT.,"""The Next Phase""",1992-03-15,The Next Generation
21,RIKER,       Where are your replicators?,6    INT. ROMULAN ENGINE ROOM (OPTICAL),ROMULAN ENGINE ROOM,INT.,"""The Next Phase""",1992-03-15,The Next Generation
22,VAREL,   They are off-line.,6    INT. ROMULAN ENGINE ROOM (OPTICAL),ROMULAN ENGINE ROOM,INT.,"""The Next Phase""",1992-03-15,The Next Generation
23,RIKER,   Who's in charge here?,6    INT. ROMULAN ENGINE ROOM (OPTICAL),ROMULAN ENGINE ROOM,INT.,"""The Next Phase""",1992-03-15,The Next Generation
24,MIROK,   The captain is dead. I'm... the   science officer. Mirok.,6    INT. ROMULAN ENGINE ROOM (OPTICAL),ROMULAN ENGINE ROOM,INT.,"""The Next Phase""",1992-03-15,The Next Generation
25,RIKER,       We'd like to take the generator   back to the Enterprise for   replication.,6    INT. ROMULAN ENGINE ROOM (OPTICAL),ROMULAN ENGINE ROOM,INT.,"""The Next Phase""",1992-03-15,The Next Generation
26,MIROK,       All right.,6    INT. ROMULAN ENGINE ROOM (OPTICAL),ROMULAN ENGINE ROOM,INT.,"""The Next Phase""",1992-03-15,The Next Generation
27,RIKER,"   Geordi, you and Ro.",6    INT. ROMULAN ENGINE ROOM (OPTICAL),ROMULAN ENGINE ROOM,INT.,"""The Next Phase""",1992-03-15,The Next Generation
28,GEORDI,"       La Forge to Brossmer. Two people,   one piece of equipment to beam   aboard.",6    INT. ROMULAN ENGINE ROOM (OPTICAL),ROMULAN ENGINE ROOM,INT.,"""The Next Phase""",1992-03-15,The Next Generation
