,character,quote,scene,location,view,episode,date,series
0,PICARD,"   I don't know why they have to do   this every year. In fact, I   thought last year the teachers   agreed not to do this anymore.",1    INT. OBSERVATION LOUNGE (OPTICAL),OBSERVATION LOUNGE,INT.,"""The Pegasus""",1993-10-18,The Next Generation
1,TROI,   Captain Picard Day is one of the   children's favorite school   activities. They look forward to   it all year.,1    INT. OBSERVATION LOUNGE (OPTICAL),OBSERVATION LOUNGE,INT.,"""The Pegasus""",1993-10-18,The Next Generation
2,PICARD,   Why does it have to be me?,1    INT. OBSERVATION LOUNGE (OPTICAL),OBSERVATION LOUNGE,INT.,"""The Pegasus""",1993-10-18,The Next Generation
3,TROI,   You're the Captain... children   look up to you... you're a role   model for them.,1    INT. OBSERVATION LOUNGE (OPTICAL),OBSERVATION LOUNGE,INT.,"""The Pegasus""",1993-10-18,The Next Generation
4,PICARD,   Their perception of me is a   little... exaggerated.,1    INT. OBSERVATION LOUNGE (OPTICAL),OBSERVATION LOUNGE,INT.,"""The Pegasus""",1993-10-18,The Next Generation
5,RIKER,"    (using doll and     imitating voice)   ""I don't know... I think this   bears a certain resemblance.   Wouldn't you agree, Number One?""",1    INT. OBSERVATION LOUNGE (OPTICAL),OBSERVATION LOUNGE,INT.,"""The Pegasus""",1993-10-18,The Next Generation
6,PICARD,       Don't you have something else to   do?,1    INT. OBSERVATION LOUNGE (OPTICAL),OBSERVATION LOUNGE,INT.,"""The Pegasus""",1993-10-18,The Next Generation
7,RIKER,       I'll be on the Bridge.,1    INT. OBSERVATION LOUNGE (OPTICAL),OBSERVATION LOUNGE,INT.,"""The Pegasus""",1993-10-18,The Next Generation
8,TROI,"   The finalists will be here in half   an hour. You have to pick first,   second and third place and four   honorable mentions.",1    INT. OBSERVATION LOUNGE (OPTICAL),OBSERVATION LOUNGE,INT.,"""The Pegasus""",1993-10-18,The Next Generation
9,WORF,   Worf to Captain. Incoming   transmission from Admiral   Blackwell. It is coded priority   one.,1    INT. OBSERVATION LOUNGE (OPTICAL),OBSERVATION LOUNGE,INT.,"""The Pegasus""",1993-10-18,The Next Generation
10,PICARD,"       Put it through.       Excuse me, Counselor.",1    INT. OBSERVATION LOUNGE (OPTICAL),OBSERVATION LOUNGE,INT.,"""The Pegasus""",1993-10-18,The Next Generation
11,PICARD,       Admiral.,1    INT. OBSERVATION LOUNGE (OPTICAL),OBSERVATION LOUNGE,INT.,"""The Pegasus""",1993-10-18,The Next Generation
12,BLACKWELL,   Captain. What is your status?,1    INT. OBSERVATION LOUNGE (OPTICAL),OBSERVATION LOUNGE,INT.,"""The Pegasus""",1993-10-18,The Next Generation
13,PICARD,"   We're conducting an energy output   study of the Mekoria Quasar. All   systems normal, the ship is fully   operational.",1    INT. OBSERVATION LOUNGE (OPTICAL),OBSERVATION LOUNGE,INT.,"""The Pegasus""",1993-10-18,The Next Generation
14,BLACKWELL,   Good. I'm postponing the quasar   study for the moment. The   Enterprise is to rendezvous with   the starship Crazy Horse in sector   one-six-zero-seven immediately.   You're authorized to exceed warp   speed limitations for the duration   of this assignment.,1    INT. OBSERVATION LOUNGE (OPTICAL),OBSERVATION LOUNGE,INT.,"""The Pegasus""",1993-10-18,The Next Generation
15,PICARD,   I understand. What is our   assignment?,1    INT. OBSERVATION LOUNGE (OPTICAL),OBSERVATION LOUNGE,INT.,"""The Pegasus""",1993-10-18,The Next Generation
16,BLACKWELL,   I'd prefer not to discuss it over   subspace channels. The Crazy   Horse will be carrying someone   from Starfleet Intelligence...   he'll brief you when he arrives.,1    INT. OBSERVATION LOUNGE (OPTICAL),OBSERVATION LOUNGE,INT.,"""The Pegasus""",1993-10-18,The Next Generation
17,PICARD,   Very well.,1    INT. OBSERVATION LOUNGE (OPTICAL),OBSERVATION LOUNGE,INT.,"""The Pegasus""",1993-10-18,The Next Generation
18,BLACKWELL,"   ""Captain Picard Day?""",1    INT. OBSERVATION LOUNGE (OPTICAL),OBSERVATION LOUNGE,INT.,"""The Pegasus""",1993-10-18,The Next Generation
19,PICARD,   Oh... yes. It's for the   children... I'm a... role model.,1    INT. OBSERVATION LOUNGE (OPTICAL),OBSERVATION LOUNGE,INT.,"""The Pegasus""",1993-10-18,The Next Generation
20,BLACKWELL,   I'm sure you are. Starfleet out.,1    INT. OBSERVATION LOUNGE (OPTICAL),OBSERVATION LOUNGE,INT.,"""The Pegasus""",1993-10-18,The Next Generation
21,RIKER,   So who won the contest?,3    INT. CORRIDOR,CORRIDOR,INT.,"""The Pegasus""",1993-10-18,The Next Generation
22,PICARD,   Paul Menegay -- seven years old.   He did an interesting clay   sculpture of my head.,3    INT. CORRIDOR,CORRIDOR,INT.,"""The Pegasus""",1993-10-18,The Next Generation
23,RIKER,   Is that the lumpy one with the   orange skin?,3    INT. CORRIDOR,CORRIDOR,INT.,"""The Pegasus""",1993-10-18,The Next Generation
24,PICARD,"   Yes.       Oh, you'll be interested to know   that I've arranged for a Commander   Riker day next month. I'm even   considering making an entry   myself.",3    INT. CORRIDOR,CORRIDOR,INT.,"""The Pegasus""",1993-10-18,The Next Generation
25,RIKER,       Great.,3    INT. CORRIDOR,CORRIDOR,INT.,"""The Pegasus""",1993-10-18,The Next Generation
26,PICARD,   Energize.,4    INT. TRANSPORTER ROOM - CONTINUOUS (OPTICAL),TRANSPORTER ROOM - CONTINUOUS,INT.,"""The Pegasus""",1993-10-18,The Next Generation
27,PRESSMAN,   Wil. Bet you never thought you'd   see me again.,4    INT. TRANSPORTER ROOM - CONTINUOUS (OPTICAL),TRANSPORTER ROOM - CONTINUOUS,INT.,"""The Pegasus""",1993-10-18,The Next Generation
28,RIKER,"   It's... good to see you, sir.",4    INT. TRANSPORTER ROOM - CONTINUOUS (OPTICAL),TRANSPORTER ROOM - CONTINUOUS,INT.,"""The Pegasus""",1993-10-18,The Next Generation
29,PRESSMAN,       Sure it is. You look like you're   about to faint.,4    INT. TRANSPORTER ROOM - CONTINUOUS (OPTICAL),TRANSPORTER ROOM - CONTINUOUS,INT.,"""The Pegasus""",1993-10-18,The Next Generation
30,RIKER,   No... it's just been so long   and...,4    INT. TRANSPORTER ROOM - CONTINUOUS (OPTICAL),TRANSPORTER ROOM - CONTINUOUS,INT.,"""The Pegasus""",1993-10-18,The Next Generation
31,RIKER,"       I'm sorry. Captain Jean-Luc   Picard, Admiral Erik Pressman.",4    INT. TRANSPORTER ROOM - CONTINUOUS (OPTICAL),TRANSPORTER ROOM - CONTINUOUS,INT.,"""The Pegasus""",1993-10-18,The Next Generation
