,character,quote,scene,location,view,episode,date,series
0,PICARD ,"   Captain's log, stardate 45571.2.   We are going into orbit around   an unexplored M-class moon of   Mab-Bu Six. Though the moon was   reported to be uninhabited, we   have picked up a weak distress   call.",1    EXT. SPACE - THE ENTERPRISE (OPTICAL),SPACE - THE ENTERPRISE,EXT.,"""Power Play""",1991-11-26,The Next Generation
1,DATA,"   The intense electromagnetic   whirlwinds on the moon's surface   make it virtually impossible to   locate the source of the signal,   sir...",2    INT. BRIDGE,BRIDGE,INT.,"""Power Play""",1991-11-26,The Next Generation
2,PICARD,"   Any indications of life, Mister   Worf?",2    INT. BRIDGE,BRIDGE,INT.,"""Power Play""",1991-11-26,The Next Generation
3,WORF,"   Scanners read negative, sir. But   they may be affected by the   interference.",2    INT. BRIDGE,BRIDGE,INT.,"""Power Play""",1991-11-26,The Next Generation
4,RIKER,"   Have you ever heard anything like   that, Data?",2    INT. BRIDGE,BRIDGE,INT.,"""Power Play""",1991-11-26,The Next Generation
5,DATA,"       I believe so, Commander... at   Starfleet Academy...",2    INT. BRIDGE,BRIDGE,INT.,"""Power Play""",1991-11-26,The Next Generation
6,PICARD,   The Academy?,2    INT. BRIDGE,BRIDGE,INT.,"""Power Play""",1991-11-26,The Next Generation
7,DATA,"   Yes, sir, let me verify it...",2    INT. BRIDGE,BRIDGE,INT.,"""Power Play""",1991-11-26,The Next Generation
8,DATA,"       As I thought, sir... it is a   Starfleet subspace distress   signal... standard to Daedalus   class starships...",2    INT. BRIDGE,BRIDGE,INT.,"""Power Play""",1991-11-26,The Next Generation
9,RIKER,       There hasn't been a Daedalus class   in service for... what... ?,2    INT. BRIDGE,BRIDGE,INT.,"""Power Play""",1991-11-26,The Next Generation
10,DATA,"   One hundred seventy-two years,   Commander...",2    INT. BRIDGE,BRIDGE,INT.,"""Power Play""",1991-11-26,The Next Generation
11,PICARD,"   Any record of missing ships in   this vicinity, Data?",2    INT. BRIDGE,BRIDGE,INT.,"""Power Play""",1991-11-26,The Next Generation
12,DATA,   The U.S.S. Essex under the command   of Captain Bryce Shumar   disappeared in this sector over   two centuries ago...,2    INT. BRIDGE,BRIDGE,INT.,"""Power Play""",1991-11-26,The Next Generation
13,PICARD,   Daedalus class...,2    INT. BRIDGE,BRIDGE,INT.,"""Power Play""",1991-11-26,The Next Generation
14,DATA,"       Yes, Captain... I have accessed   the subspace transponder signature   of the Essex... it is identical   to the signal coming from the moon's   surface...",2    INT. BRIDGE,BRIDGE,INT.,"""Power Play""",1991-11-26,The Next Generation
15,RIKER,   We've arrived a little late...,2    INT. BRIDGE,BRIDGE,INT.,"""Power Play""",1991-11-26,The Next Generation
16,PICARD ,"   Mute it, Data.",2    INT. BRIDGE,BRIDGE,INT.,"""Power Play""",1991-11-26,The Next Generation
17,PICARD,"       With the storm activity down   there, I don't think it's worth   the risk to check on a ghost ship,   Number One... advise Starfleet   we've solved the mystery of   Captain Shumar and the Essex...",2    INT. BRIDGE,BRIDGE,INT.,"""Power Play""",1991-11-26,The Next Generation
18,TROI,   I'm not sure we have...,2    INT. BRIDGE,BRIDGE,INT.,"""Power Play""",1991-11-26,The Next Generation
19,TROI,   Someone's down there... alive...,2    INT. BRIDGE,BRIDGE,INT.,"""Power Play""",1991-11-26,The Next Generation
20,RIKER ,"   First officer's log, supplemental.   The electromagnetic interference   on the surface was judged too   dangerous for anyone to transport   down. So we have taken a   shuttle to investigate.",4    EXT. MOON - THE SHUTTLE (OPTICAL),MOON - THE SHUTTLE,EXT.,"""Power Play""",1991-11-26,The Next Generation
21,DATA,   Shields are holding...,5    INT. SHUTTLE - IN FLIGHT,SHUTTLE,INT.,"""Power Play""",1991-11-26,The Next Generation
22,RIKER,"       Wind shear is incredible, Data...   keep an eye on the stabilizers...       If it's anything like this on the   ground, I don't see how anyone   could survive on this moon for   long.",5    INT. SHUTTLE - IN FLIGHT,SHUTTLE,INT.,"""Power Play""",1991-11-26,The Next Generation
23,TROI,   Maybe they've been living   underground.,5    INT. SHUTTLE - IN FLIGHT,SHUTTLE,INT.,"""Power Play""",1991-11-26,The Next Generation
24,RIKER,       Question is where? I still can't   locate the source of the damn   signal... it's bouncing around   more than we are...,5    INT. SHUTTLE - IN FLIGHT,SHUTTLE,INT.,"""Power Play""",1991-11-26,The Next Generation
25,DATA,"   Sir, forward thrusters have   failed. We are losing power.",5    INT. SHUTTLE - IN FLIGHT,SHUTTLE,INT.,"""Power Play""",1991-11-26,The Next Generation
26,RIKER,   Enterprise... ?,5    INT. SHUTTLE - IN FLIGHT,SHUTTLE,INT.,"""Power Play""",1991-11-26,The Next Generation
27,PICARD,   Go ahead.,6    INT. BRIDGE,BRIDGE,INT.,"""Power Play""",1991-11-26,The Next Generation
28,RIKER COMM,   We've lost our thrusters...   attempting to compensate with   secondary boosters...,6    INT. BRIDGE,BRIDGE,INT.,"""Power Play""",1991-11-26,The Next Generation
29,WORF,   Sir? The shuttle's impulse   generators have shut down...,6    INT. BRIDGE,BRIDGE,INT.,"""Power Play""",1991-11-26,The Next Generation
30,PICARD,   Commander? Can you hear me?,6    INT. BRIDGE,BRIDGE,INT.,"""Power Play""",1991-11-26,The Next Generation
31,PICARD,"       Enterprise to shuttle, please   respond.",7    INT. SHUTTLE,SHUTTLE,INT.,"""Power Play""",1991-11-26,The Next Generation
32,RIKER,   Hold on! We're going down...,7    INT. SHUTTLE,SHUTTLE,INT.,"""Power Play""",1991-11-26,The Next Generation
33,DATA,   Initiating emergency landing   procedures...,7    INT. SHUTTLE,SHUTTLE,INT.,"""Power Play""",1991-11-26,The Next Generation
34,RIKER,   Maintain the approach attitude   Data... I'm taking her in...,7    INT. SHUTTLE,SHUTTLE,INT.,"""Power Play""",1991-11-26,The Next Generation
35,RO,   The shuttle has crashed on the   surface...,9    INT. BRIDGE,BRIDGE,INT.,"""Power Play""",1991-11-26,The Next Generation
36,PICARD,   Do you have their position?,9    INT. BRIDGE,BRIDGE,INT.,"""Power Play""",1991-11-26,The Next Generation
37,WORF,       I am picking up the shuttle's   trace signature... but the surface   interference is distorting its   position...,9    INT. BRIDGE,BRIDGE,INT.,"""Power Play""",1991-11-26,The Next Generation
38,PICARD,       Can you locate them...,9    INT. BRIDGE,BRIDGE,INT.,"""Power Play""",1991-11-26,The Next Generation
39,RO,   I think I can... I followed their   entry almost all the way in...   we can calculate the coordinates   from their angle of descent...,9    INT. BRIDGE,BRIDGE,INT.,"""Power Play""",1991-11-26,The Next Generation
40,RIKER,       Enterprise?,10   EXT. MOON SURFACE,MOON SURFACE,EXT.,"""Power Play""",1991-11-26,The Next Generation
41,DATA,"   It is unlikely, sir, that we will   be able to establish communication   with the ship, given the severe   electromagnetic interference...",10   EXT. MOON SURFACE,MOON SURFACE,EXT.,"""Power Play""",1991-11-26,The Next Generation
42,RIKER,"       Then we'll stay put right here   until the Enterprise finds us...       Data, run an inventory of what's   still usable inside the shuttle.",10   EXT. MOON SURFACE,MOON SURFACE,EXT.,"""Power Play""",1991-11-26,The Next Generation
43,DATA,   Yes sir.,10   EXT. MOON SURFACE,MOON SURFACE,EXT.,"""Power Play""",1991-11-26,The Next Generation
44,TROI,   Your arm...,10   EXT. MOON SURFACE,MOON SURFACE,EXT.,"""Power Play""",1991-11-26,The Next Generation
45,RIKER,"   Yeah, I'm pretty sure it's   broken...",10   EXT. MOON SURFACE,MOON SURFACE,EXT.,"""Power Play""",1991-11-26,The Next Generation
46,RIKER,   The surface is composed of   nonporous rock... makes me   think it's even more unlikely   anyone could live here...,10   EXT. MOON SURFACE,MOON SURFACE,EXT.,"""Power Play""",1991-11-26,The Next Generation
47,DATA,   There are no instruments left of   practical value that have not been   damaged by the impact of our   landing.,10   EXT. MOON SURFACE,MOON SURFACE,EXT.,"""Power Play""",1991-11-26,The Next Generation
48,TROI,       What is that?,10   EXT. MOON SURFACE,MOON SURFACE,EXT.,"""Power Play""",1991-11-26,The Next Generation
49,RIKER,   Doesn't look like any storm front   I've ever seen...,10   EXT. MOON SURFACE,MOON SURFACE,EXT.,"""Power Play""",1991-11-26,The Next Generation
50,DATA,    (checking with the     tricorder)   The tricorder is picking up high   levels of E-M bursts across the   spectrum.,10   EXT. MOON SURFACE,MOON SURFACE,EXT.,"""Power Play""",1991-11-26,The Next Generation
51,RIKER,"   Are you picking up anything else,   Data... like signs of life... ?",10   EXT. MOON SURFACE,MOON SURFACE,EXT.,"""Power Play""",1991-11-26,The Next Generation
52,DATA,"   Other than our own, sir...   negative.",10   EXT. MOON SURFACE,MOON SURFACE,EXT.,"""Power Play""",1991-11-26,The Next Generation
53,TROI,   There is someone alive here...   I'm more certain of it now than   ever...,10   EXT. MOON SURFACE,MOON SURFACE,EXT.,"""Power Play""",1991-11-26,The Next Generation
54,RIKER,"   Well, I hope they can find us...   because we don't have a way to   find them...",10   EXT. MOON SURFACE,MOON SURFACE,EXT.,"""Power Play""",1991-11-26,The Next Generation
55,TROI,       They're coming... they're coming   with the storm...,10   EXT. MOON SURFACE,MOON SURFACE,EXT.,"""Power Play""",1991-11-26,The Next Generation
56,GEORDI,"   We can't get a pattern lock on   the communicators because of the   E-M bursts, Captain. There's   no way to beam them out of   there... not under these   conditions...",12   INT. TRANSPORTER ROOM,TRANSPORTER ROOM,INT.,"""Power Play""",1991-11-26,The Next Generation
57,PICARD,"   The same conditions won't permit   a shuttle to land safely, Mister   LaForge... any suggestions... ?",13   INT. MAIN BRIDGE,MAIN BRIDGE,INT.,"""Power Play""",1991-11-26,The Next Generation
58,O'BRIEN,"       Sir, let me beam down with a   pattern enhancer...",14   INT. TRANSPORTER ROOM,TRANSPORTER ROOM,INT.,"""Power Play""",1991-11-26,The Next Generation
59,GEORDI,"   Chief, there's no guarantee you   won't rematerialize in a million   pieces if your signal gets caught   up in that electromagnetic   whirlwind...",14   INT. TRANSPORTER ROOM,TRANSPORTER ROOM,INT.,"""Power Play""",1991-11-26,The Next Generation
60,O'BRIEN,   I can boost the confinement   beam. One person might be able   to make it...,14   INT. TRANSPORTER ROOM,TRANSPORTER ROOM,INT.,"""Power Play""",1991-11-26,The Next Generation
61,GEORDI,"       Captain, Chief O'Brien wants to   beam down to the surface with a   pattern enhancer...",14   INT. TRANSPORTER ROOM,TRANSPORTER ROOM,INT.,"""Power Play""",1991-11-26,The Next Generation
62,GEORDI,       His chances of getting down there   safely are no better than fifty-   fifty in my judgement...,15   INT. MAIN BRIDGE,MAIN BRIDGE,INT.,"""Power Play""",1991-11-26,The Next Generation
63,WORF,"   Captain, a major storm front is   moving in on the away team's   coordinates...",15   INT. MAIN BRIDGE,MAIN BRIDGE,INT.,"""Power Play""",1991-11-26,The Next Generation
64,PICARD,       Mister O'Brien... you are aware   of the risks?,15   INT. MAIN BRIDGE,MAIN BRIDGE,INT.,"""Power Play""",1991-11-26,The Next Generation
65,O'BRIEN,   Yessir. I think I can make it.,15   INT. MAIN BRIDGE,MAIN BRIDGE,INT.,"""Power Play""",1991-11-26,The Next Generation
66,PICARD COM,   Prepare to transport.,16   INT. TRANSPORTER ROOM,TRANSPORTER ROOM,INT.,"""Power Play""",1991-11-26,The Next Generation
67,O'BRIEN,"   Aye, sir.",16   INT. TRANSPORTER ROOM,TRANSPORTER ROOM,INT.,"""Power Play""",1991-11-26,The Next Generation
68,RIKER,   Glad you could join us.,17   EXT. MOON SURFACE (OPTICAL),MOON SURFACE,EXT.,"""Power Play""",1991-11-26,The Next Generation
69,O'BRIEN,"   Great spot for a picnic, sir.",17   EXT. MOON SURFACE (OPTICAL),MOON SURFACE,EXT.,"""Power Play""",1991-11-26,The Next Generation
70,O'BRIEN,   We need to distribute the enhancer   rods at seven meter legs... that   ought to do it...,17   EXT. MOON SURFACE (OPTICAL),MOON SURFACE,EXT.,"""Power Play""",1991-11-26,The Next Generation
71,RIKER,"   Storm front going to affect the   transport, Chief... ?",17   EXT. MOON SURFACE (OPTICAL),MOON SURFACE,EXT.,"""Power Play""",1991-11-26,The Next Generation
72,O'BRIEN,"   I'd really like to get us out of   here before it hits, Commander...   see, I'm supposed to be feeding   the baby lunch... Molly gets in   a terribly foul mood if I'm   late...",17   EXT. MOON SURFACE (OPTICAL),MOON SURFACE,EXT.,"""Power Play""",1991-11-26,The Next Generation
73,RIKER,   I'm with you...,17   EXT. MOON SURFACE (OPTICAL),MOON SURFACE,EXT.,"""Power Play""",1991-11-26,The Next Generation
74,RIKER,"   Lunch time, O'Brien! Let's do   it!",17   EXT. MOON SURFACE (OPTICAL),MOON SURFACE,EXT.,"""Power Play""",1991-11-26,The Next Generation
75,BEVERLY,"   Easy, Deanna...",26   INT. SICKBAY,SICKBAY,INT.,"""Power Play""",1991-11-26,The Next Generation
76,TROI,   W-where... ?,26   INT. SICKBAY,SICKBAY,INT.,"""Power Play""",1991-11-26,The Next Generation
77,BEVERLY,   You're back on the Enterprise...   Everything's okay now.,26   INT. SICKBAY,SICKBAY,INT.,"""Power Play""",1991-11-26,The Next Generation
78,TROI,   But my skin... It's tingling.,26   INT. SICKBAY,SICKBAY,INT.,"""Power Play""",1991-11-26,The Next Generation
79,BEVERLY,   You are experiencing some   afterimages from the   electromagnetic discharge. The   sensation will pass. Try to   relax...,26   INT. SICKBAY,SICKBAY,INT.,"""Power Play""",1991-11-26,The Next Generation
80,BEVERLY,"       They're all fine, too. Now take   your time, Counselor, okay?   Doctor's orders.",26   INT. SICKBAY,SICKBAY,INT.,"""Power Play""",1991-11-26,The Next Generation
81,PICARD,"       Injury report, Doctor?",26   INT. SICKBAY,SICKBAY,INT.,"""Power Play""",1991-11-26,The Next Generation
82,BEVERLY,   Mostly minor abrasions. But   Commander Riker took the worst   of it with a broken arm... The   biofilter scans showed their   nervous systems were generating   unusally high levels of synaptic   energy. I don't think it's   anything to worry about...,26   INT. SICKBAY,SICKBAY,INT.,"""Power Play""",1991-11-26,The Next Generation
83,PICARD,"   Good work, Mister O'Brien.",26   INT. SICKBAY,SICKBAY,INT.,"""Power Play""",1991-11-26,The Next Generation
84,O'BRIEN,"   Thank you, sir.",26   INT. SICKBAY,SICKBAY,INT.,"""Power Play""",1991-11-26,The Next Generation
85,RIKER,"   Ready for duty, Captain.",26   INT. SICKBAY,SICKBAY,INT.,"""Power Play""",1991-11-26,The Next Generation
86,PICARD,"   Are you sure, Number One?",26   INT. SICKBAY,SICKBAY,INT.,"""Power Play""",1991-11-26,The Next Generation
87,RIKER,"    (nods, flexes his     injured arm)   It's not the first bone I've   broken.",26   INT. SICKBAY,SICKBAY,INT.,"""Power Play""",1991-11-26,The Next Generation
88,PICARD,"   And how are you, Counselor?",26   INT. SICKBAY,SICKBAY,INT.,"""Power Play""",1991-11-26,The Next Generation
89,TROI,   Very glad to be here.,26   INT. SICKBAY,SICKBAY,INT.,"""Power Play""",1991-11-26,The Next Generation
90,PICARD,       What happened down there?,26   INT. SICKBAY,SICKBAY,INT.,"""Power Play""",1991-11-26,The Next Generation
91,RIKER,   It was just one hell of a storm...   moved in on our position faster   than anything I've ever seen.,26A  INT. CORRIDOR - CONTINUOUS,CORRIDOR,INT.,"""Power Play""",1991-11-26,The Next Generation
92,PICARD,   Did you find any evidence of   life?,26B  INT. TURBOLIFT - CONTINUOUS,TURBOLIFT,INT.,"""Power Play""",1991-11-26,The Next Generation
93,RIKER,"   No, but if Troi was right, we   weren't far away from it...",26B  INT. TURBOLIFT - CONTINUOUS,TURBOLIFT,INT.,"""Power Play""",1991-11-26,The Next Generation
94,PICARD,       Bridge.       How do you suggest we proceed?,26B  INT. TURBOLIFT - CONTINUOUS,TURBOLIFT,INT.,"""Power Play""",1991-11-26,The Next Generation
95,RIKER,"   We're gonna have to find a way   to modify the scanners to   penetrate those storms. Got any   ideas, Data... ?",26B  INT. TURBOLIFT - CONTINUOUS,TURBOLIFT,INT.,"""Power Play""",1991-11-26,The Next Generation
96,DATA,       It is p-p-possible we might be   able to employ virtual imaging   to interpolate missing data...,26B  INT. TURBOLIFT - CONTINUOUS,TURBOLIFT,INT.,"""Power Play""",1991-11-26,The Next Generation
97,PICARD,"   Is there something wrong, Data?",26B  INT. TURBOLIFT - CONTINUOUS,TURBOLIFT,INT.,"""Power Play""",1991-11-26,The Next Generation
98,DATA,   My apologies. It seems my primary   speech processors are experiencing   a minor fluctuation. I will have   it corrected in a... m-m-moment.,28   INT. BRIDGE,BRIDGE,INT.,"""Power Play""",1991-11-26,The Next Generation
99,TROI,   Captain... may I speak with you   a moment? In private?,28   INT. BRIDGE,BRIDGE,INT.,"""Power Play""",1991-11-26,The Next Generation
100,PICARD,"   Of course, Counselor.       Take the bridge, Number One.",28   INT. BRIDGE,BRIDGE,INT.,"""Power Play""",1991-11-26,The Next Generation
101,RIKER,"   Mister Data, deploy sensor scans   when you're ready. Ensign, move   into a synchronous orbit aligned   with our crash site.",28   INT. BRIDGE,BRIDGE,INT.,"""Power Play""",1991-11-26,The Next Generation
102,RO,   Aye sir.,28   INT. BRIDGE,BRIDGE,INT.,"""Power Play""",1991-11-26,The Next Generation
103,DATA,"   Sir? Given the E-M field   properties of this moon, I would   recommend a search pattern   beginning at the southern   p-p-polar region.",28   INT. BRIDGE,BRIDGE,INT.,"""Power Play""",1991-11-26,The Next Generation
104,RIKER,"       The polar region... But that's   starting from scratch, Data. The   last reading we had on the Essex   would suggest we begin the scans   near our crash site...",28   INT. BRIDGE,BRIDGE,INT.,"""Power Play""",1991-11-26,The Next Generation
105,DATA,"   The Essex signal was never clearly   located, sir.     ",28   INT. BRIDGE,BRIDGE,INT.,"""Power Play""",1991-11-26,The Next Generation
106,DATA ,"   A broader, systematic survey of   the moon from a p-p-polar orbit   might be more practical.",28   INT. BRIDGE,BRIDGE,INT.,"""Power Play""",1991-11-26,The Next Generation
107,RIKER,"       Well, you might be right. Still,   I'd like to give the crash site   a once-over first... We'll   maintain our present orbit for   now.",28   INT. BRIDGE,BRIDGE,INT.,"""Power Play""",1991-11-26,The Next Generation
108,DATA,"   Understood, sir.",28   INT. BRIDGE,BRIDGE,INT.,"""Power Play""",1991-11-26,The Next Generation
109,TROI,   I've never felt anything quite   like it... It was almost as though   they were calling to me...,29   INT. READY ROOM,READY ROOM,INT.,"""Power Play""",1991-11-26,The Next Generation
110,PICARD,"       Are you saying someone was   communicating telepathically,   Counselor?",29   INT. READY ROOM,READY ROOM,INT.,"""Power Play""",1991-11-26,The Next Generation
