,character,quote,scene,location,view,episode,date,series,file
0,JAKE,   Character sketches for possible    stories...,4    INT. PROMENADE,PROMENADE,INT.,The Muse,1996-02-13,Deep Space Nine,493.txt
1,JAKE,   A Bolian tries to impress a dabo    girl... by wearing a toupee...,4    INT. PROMENADE,PROMENADE,INT.,The Muse,1996-02-13,Deep Space Nine,493.txt
2,JAKE,   A thief disguises himself as a   Monk so he can swindle a   Ferengi...,4    INT. PROMENADE,PROMENADE,INT.,The Muse,1996-02-13,Deep Space Nine,493.txt
3,JAKE,   A woman... traveling alone...    she's come a long way...,4    INT. PROMENADE,PROMENADE,INT.,The Muse,1996-02-13,Deep Space Nine,493.txt
4,ODO,   Good morning...,7A   INT. PROMENADE (FORMERLY SCENE 1),PROMENADE,INT.,The Muse,1996-02-13,Deep Space Nine,493.txt
5,ODO,"   Punctual, as always...",7A   INT. PROMENADE (FORMERLY SCENE 1),PROMENADE,INT.,The Muse,1996-02-13,Deep Space Nine,493.txt
6,QUARK,   Don't even start.,7A   INT. PROMENADE (FORMERLY SCENE 1),PROMENADE,INT.,The Muse,1996-02-13,Deep Space Nine,493.txt
7,QUARK,   What are you looking at?,7A   INT. PROMENADE (FORMERLY SCENE 1),PROMENADE,INT.,The Muse,1996-02-13,Deep Space Nine,493.txt
8,QUARK,   So I'm a few minutes late. I was   here till four in the morning last   night.,7A   INT. PROMENADE (FORMERLY SCENE 1),PROMENADE,INT.,The Muse,1996-02-13,Deep Space Nine,493.txt
9,ODO,   You close at two.,7A   INT. PROMENADE (FORMERLY SCENE 1),PROMENADE,INT.,The Muse,1996-02-13,Deep Space Nine,493.txt
10,QUARK,"   You never know what time your last    customer is going to leave.        Right, Morn?",7A   INT. PROMENADE (FORMERLY SCENE 1),PROMENADE,INT.,The Muse,1996-02-13,Deep Space Nine,493.txt
11,ODO,"      If this were my bar, I'd have it    cleared out promptly at two A.M.",7A   INT. PROMENADE (FORMERLY SCENE 1),PROMENADE,INT.,The Muse,1996-02-13,Deep Space Nine,493.txt
12,QUARK,"   If this were your bar, people    would be so bored you'd be lucky    to get them to stay past nine.",7A   INT. PROMENADE (FORMERLY SCENE 1),PROMENADE,INT.,The Muse,1996-02-13,Deep Space Nine,493.txt
13,ODO,   But I wouldn't keep them waiting    in the morning...,7A   INT. PROMENADE (FORMERLY SCENE 1),PROMENADE,INT.,The Muse,1996-02-13,Deep Space Nine,493.txt
14,ODO,   Ambassador Troi...,8    INT. SECURITY OFFICE,SECURITY OFFICE,INT.,The Muse,1996-02-13,Deep Space Nine,493.txt
15,LWAXANA,   Please... Lwaxana...,8    INT. SECURITY OFFICE,SECURITY OFFICE,INT.,The Muse,1996-02-13,Deep Space Nine,493.txt
16,ODO,   I'm sorry... if that's what you    prefer.,8    INT. SECURITY OFFICE,SECURITY OFFICE,INT.,The Muse,1996-02-13,Deep Space Nine,493.txt
17,ODO,   Is there something wrong... why    are you crying?,8    INT. SECURITY OFFICE,SECURITY OFFICE,INT.,The Muse,1996-02-13,Deep Space Nine,493.txt
18,LWAXANA,   Because...,8    INT. SECURITY OFFICE,SECURITY OFFICE,INT.,The Muse,1996-02-13,Deep Space Nine,493.txt
19,LWAXANA,   I'm pregnant...,8    INT. SECURITY OFFICE,SECURITY OFFICE,INT.,The Muse,1996-02-13,Deep Space Nine,493.txt
20,LWAXANA,   It's a miracle. I never thought    I'd be able to have another baby.,9    INT. SECURITY OFFICE - CONTINUOUS,SECURITY OFFICE,INT.,The Muse,1996-02-13,Deep Space Nine,493.txt
21,ODO,   Then those are tears of    happiness...,9    INT. SECURITY OFFICE - CONTINUOUS,SECURITY OFFICE,INT.,The Muse,1996-02-13,Deep Space Nine,493.txt
22,LWAXANA,"   I won't let him do it, Odo!",9    INT. SECURITY OFFICE - CONTINUOUS,SECURITY OFFICE,INT.,The Muse,1996-02-13,Deep Space Nine,493.txt
23,ODO,       Who... what?,9    INT. SECURITY OFFICE - CONTINUOUS,SECURITY OFFICE,INT.,The Muse,1996-02-13,Deep Space Nine,493.txt
24,LWAXANA,   My husband -- Jeyal -- he wants to   take my baby from me! That's why    I ran away!,9    INT. SECURITY OFFICE - CONTINUOUS,SECURITY OFFICE,INT.,The Muse,1996-02-13,Deep Space Nine,493.txt
25,ODO,"   Lwaxana, please. Try to be calm.    Now, why would your husband want    to take your baby from you?",9    INT. SECURITY OFFICE - CONTINUOUS,SECURITY OFFICE,INT.,The Muse,1996-02-13,Deep Space Nine,493.txt
26,LWAXANA,   He's Tavnian.,9    INT. SECURITY OFFICE - CONTINUOUS,SECURITY OFFICE,INT.,The Muse,1996-02-13,Deep Space Nine,493.txt
27,ODO,   And?,9    INT. SECURITY OFFICE - CONTINUOUS,SECURITY OFFICE,INT.,The Muse,1996-02-13,Deep Space Nine,493.txt
28,LWAXANA,"   They believe in strict separation    of the sexes. Boys are raised by    men, girls by women. Those poor    children aren't even told the    other sex exists until they're    sixteen.",9    INT. SECURITY OFFICE - CONTINUOUS,SECURITY OFFICE,INT.,The Muse,1996-02-13,Deep Space Nine,493.txt
29,ODO,       And your child is male.,9    INT. SECURITY OFFICE - CONTINUOUS,SECURITY OFFICE,INT.,The Muse,1996-02-13,Deep Space Nine,493.txt
30,LWAXANA,"       The day Jeyal found out, he said    he was going to take the baby away    from me as soon as he was born    I told him that wasn't what we'd    agreed to; he'd said it would be    different with us because I wasn't    Tavnian.",9    INT. SECURITY OFFICE - CONTINUOUS,SECURITY OFFICE,INT.,The Muse,1996-02-13,Deep Space Nine,493.txt
31,ODO,   But he changed his mind.,9    INT. SECURITY OFFICE - CONTINUOUS,SECURITY OFFICE,INT.,The Muse,1996-02-13,Deep Space Nine,493.txt
32,LWAXANA,"       During our wedding ceremony, he    spoke so beautifully about why he    wanted to marry me, but afterwards    it was as if I'd become a piece of    property in his eyes.",9    INT. SECURITY OFFICE - CONTINUOUS,SECURITY OFFICE,INT.,The Muse,1996-02-13,Deep Space Nine,493.txt
33,ODO,   So you ran away.,9    INT. SECURITY OFFICE - CONTINUOUS,SECURITY OFFICE,INT.,The Muse,1996-02-13,Deep Space Nine,493.txt
34,LWAXANA,"   And it wasn't easy, believe me.    Toward the end, I was practically    a prisoner in my own house.",9    INT. SECURITY OFFICE - CONTINUOUS,SECURITY OFFICE,INT.,The Muse,1996-02-13,Deep Space Nine,493.txt
35,ODO,"   Now that you've shown your husband    how determined you are to be part    of your son's life, perhaps he'll    reconsider his position.",9    INT. SECURITY OFFICE - CONTINUOUS,SECURITY OFFICE,INT.,The Muse,1996-02-13,Deep Space Nine,493.txt
36,LWAXANA,   Not Jeyal. He's the most willful    man I've ever met.,9    INT. SECURITY OFFICE - CONTINUOUS,SECURITY OFFICE,INT.,The Muse,1996-02-13,Deep Space Nine,493.txt
37,LWAXANA,"   I'm so tired, Odo. I've never    needed a friend more than I do    right now.",9    INT. SECURITY OFFICE - CONTINUOUS,SECURITY OFFICE,INT.,The Muse,1996-02-13,Deep Space Nine,493.txt
38,ODO,"   I appreciate your situation, and   I would like to help...",9    INT. SECURITY OFFICE - CONTINUOUS,SECURITY OFFICE,INT.,The Muse,1996-02-13,Deep Space Nine,493.txt
39,LWAXANA,"   I knew you would. You're such a    sweet, dear man.",9    INT. SECURITY OFFICE - CONTINUOUS,SECURITY OFFICE,INT.,The Muse,1996-02-13,Deep Space Nine,493.txt
40,ODO,"       Unfortunately, I'm also a very busy man.",9    INT. SECURITY OFFICE - CONTINUOUS,SECURITY OFFICE,INT.,The Muse,1996-02-13,Deep Space Nine,493.txt
41,LWAXANA,"   Of course. Believe me, the last    thing I want is to be a burden to    you. I know how much you value    your privacy. All I want is a    quiet place where I can have my    baby in peace.",9    INT. SECURITY OFFICE - CONTINUOUS,SECURITY OFFICE,INT.,The Muse,1996-02-13,Deep Space Nine,493.txt
42,ODO,   I was about to suggest the very    thing. I'll find out when the    next transport leaves for Betazed.,9    INT. SECURITY OFFICE - CONTINUOUS,SECURITY OFFICE,INT.,The Muse,1996-02-13,Deep Space Nine,493.txt
43,LWAXANA,   I couldn't possibly go there.    That's the first place Jeyal will    look for me. I know him. He    won't give up until he finds me    and gets his son back.,9    INT. SECURITY OFFICE - CONTINUOUS,SECURITY OFFICE,INT.,The Muse,1996-02-13,Deep Space Nine,493.txt
44,LWAXANA,   That's why I came to you. Because    I knew you'd protect me.,9    INT. SECURITY OFFICE - CONTINUOUS,SECURITY OFFICE,INT.,The Muse,1996-02-13,Deep Space Nine,493.txt
45,LWAXANA,"   You will protect me, won't you,    Odo?",9    INT. SECURITY OFFICE - CONTINUOUS,SECURITY OFFICE,INT.,The Muse,1996-02-13,Deep Space Nine,493.txt
46,ODO,   I'm chief of security on this    station. It's my duty to protect    everyone aboard.,9    INT. SECURITY OFFICE - CONTINUOUS,SECURITY OFFICE,INT.,The Muse,1996-02-13,Deep Space Nine,493.txt
47,LWAXANA,"   I knew I could count on you.       Then it's settled, I'll have the    baby here.",9    INT. SECURITY OFFICE - CONTINUOUS,SECURITY OFFICE,INT.,The Muse,1996-02-13,Deep Space Nine,493.txt
48,ODO,       I'll see that you're assigned    quarters.,9    INT. SECURITY OFFICE - CONTINUOUS,SECURITY OFFICE,INT.,The Muse,1996-02-13,Deep Space Nine,493.txt
49,LWAXANA,   Near yours? I really would feel    safer knowing you're close.,9    INT. SECURITY OFFICE - CONTINUOUS,SECURITY OFFICE,INT.,The Muse,1996-02-13,Deep Space Nine,493.txt
50,ODO,   I'll see what I can do.,9    INT. SECURITY OFFICE - CONTINUOUS,SECURITY OFFICE,INT.,The Muse,1996-02-13,Deep Space Nine,493.txt
51,LWAXANA,"   Thank you, Odo. You don't know    what this means to me.",9    INT. SECURITY OFFICE - CONTINUOUS,SECURITY OFFICE,INT.,The Muse,1996-02-13,Deep Space Nine,493.txt
52,ODO,       No... but I know what it means    to me...,9    INT. SECURITY OFFICE - CONTINUOUS,SECURITY OFFICE,INT.,The Muse,1996-02-13,Deep Space Nine,493.txt
53,ONAYA,   You're a writer...,10   INT. REPLIMAT,REPLIMAT,INT.,The Muse,1996-02-13,Deep Space Nine,493.txt
