,character,quote,scene,location,view,episode,date,series,file
0,COMPUTER,   Captain Sisko. The time is oh-six-   hundred.,1    INT. SISKO'S QUARTERS - BEDROOM,SISKO'S QUARTERS,INT.,Indiscretion,1995-08-18,Deep Space Nine,477.txt
1,SISKO,   Acknowledged.         Lights.,1    INT. SISKO'S QUARTERS - BEDROOM,SISKO'S QUARTERS,INT.,Indiscretion,1995-08-18,Deep Space Nine,477.txt
2,KASIDY,   Do you always get up at oh-six-   hundred?,1    INT. SISKO'S QUARTERS - BEDROOM,SISKO'S QUARTERS,INT.,Indiscretion,1995-08-18,Deep Space Nine,477.txt
3,SISKO,   I like to get an early start. But    you can sleep in if you want.,1    INT. SISKO'S QUARTERS - BEDROOM,SISKO'S QUARTERS,INT.,Indiscretion,1995-08-18,Deep Space Nine,477.txt
4,KASIDY,"   Sleep in? I usually get up at    five.        When you're a freighter captain,    you don't have the luxury of lying    around in bed all day.",1    INT. SISKO'S QUARTERS - BEDROOM,SISKO'S QUARTERS,INT.,Indiscretion,1995-08-18,Deep Space Nine,477.txt
5,SISKO,"   If you usually get up that early,    why do you look so sleepy?",1    INT. SISKO'S QUARTERS - BEDROOM,SISKO'S QUARTERS,INT.,Indiscretion,1995-08-18,Deep Space Nine,477.txt
6,KASIDY,   I don't usually stay up until one    A.M.,1    INT. SISKO'S QUARTERS - BEDROOM,SISKO'S QUARTERS,INT.,Indiscretion,1995-08-18,Deep Space Nine,477.txt
7,SISKO,       Sorry about that.,1    INT. SISKO'S QUARTERS - BEDROOM,SISKO'S QUARTERS,INT.,Indiscretion,1995-08-18,Deep Space Nine,477.txt
8,KASIDY,        I'm not.,1    INT. SISKO'S QUARTERS - BEDROOM,SISKO'S QUARTERS,INT.,Indiscretion,1995-08-18,Deep Space Nine,477.txt
9,SISKO,   I'd better get going. You free    tonight?,1    INT. SISKO'S QUARTERS - BEDROOM,SISKO'S QUARTERS,INT.,Indiscretion,1995-08-18,Deep Space Nine,477.txt
10,KASIDY,   I think I can fit you into my    schedule.,1    INT. SISKO'S QUARTERS - BEDROOM,SISKO'S QUARTERS,INT.,Indiscretion,1995-08-18,Deep Space Nine,477.txt
