,character,quote,scene,location,view,episode,date,series
0,ROM ,"   When a young Ferengi goes out on    his own, he traditionally raises    capital by selling his boyhood    treasures.",1    INT. QUARK'S,QUARK'S,INT.,,1995-09-19,Deep Space Nine
1,ROM,"        As you know, my son Nog will be    leaving shortly for Earth and    Starfleet Academy.",1    INT. QUARK'S,QUARK'S,INT.,,1995-09-19,Deep Space Nine
2,ROM,        I'm going to miss him. And I know    you will too.,1    INT. QUARK'S,QUARK'S,INT.,,1995-09-19,Deep Space Nine
3,ROM ,"   And what better way to remember    him than to purchase one of his    very own personal belongings?        I don't know about you, but, I'm    buying these pajamas.",1    INT. QUARK'S,QUARK'S,INT.,,1995-09-19,Deep Space Nine
4,NOG,        That'll be three strips of    latinum.,1    INT. QUARK'S,QUARK'S,INT.,,1995-09-19,Deep Space Nine
5,ROM,   Two.,1    INT. QUARK'S,QUARK'S,INT.,,1995-09-19,Deep Space Nine
6,NOG,   Sold.,1    INT. QUARK'S,QUARK'S,INT.,,1995-09-19,Deep Space Nine
7,NOG,        Let the buying commence. No    reasonable offer will be refused.,1    INT. QUARK'S,QUARK'S,INT.,,1995-09-19,Deep Space Nine
8,O'BRIEN,"   Mister Worf, I didn't expect to    see you here.",1    INT. QUARK'S,QUARK'S,INT.,,1995-09-19,Deep Space Nine
9,WORF,   Captain Sisko made it a...    personal request that I attend.    He seems to have taken some   interest in the young Ferengi.,1    INT. QUARK'S,QUARK'S,INT.,,1995-09-19,Deep Space Nine
10,O'BRIEN,   The captain sponsored Nog's    application to the Academy.,1    INT. QUARK'S,QUARK'S,INT.,,1995-09-19,Deep Space Nine
11,WORF,   A Ferengi at the Academy. I am    not sure that is wise.,1    INT. QUARK'S,QUARK'S,INT.,,1995-09-19,Deep Space Nine
12,O'BRIEN,   I don't know. Not too long ago    someone might have said the same    thing about you.,1    INT. QUARK'S,QUARK'S,INT.,,1995-09-19,Deep Space Nine
13,SISKO,   You two better hurry or there    won't be anything left to buy.,1    INT. QUARK'S,QUARK'S,INT.,,1995-09-19,Deep Space Nine
14,BASHIR,"    (holds up an isolinear     rod)    Nog, what's this?",1    INT. QUARK'S,QUARK'S,INT.,,1995-09-19,Deep Space Nine
15,NOG,"   My favorite holosuite program...    ""A Visit with the Pleasure Goddess    of Rixx."" Yours for a mere ten    strips of latinum.",1    INT. QUARK'S,QUARK'S,INT.,,1995-09-19,Deep Space Nine
16,DAX,   He'll take it.        Consider it a gift.,1    INT. QUARK'S,QUARK'S,INT.,,1995-09-19,Deep Space Nine
17,BASHIR,        You're too kind.,1    INT. QUARK'S,QUARK'S,INT.,,1995-09-19,Deep Space Nine
18,KIRA,   Nog? where did you get this    springball racket?,1    INT. QUARK'S,QUARK'S,INT.,,1995-09-19,Deep Space Nine
19,NOG,        Out of a replicator?,1    INT. QUARK'S,QUARK'S,INT.,,1995-09-19,Deep Space Nine
20,KIRA,   Try out of my quarters. This is    mine. I've been looking for it    for two years.,1    INT. QUARK'S,QUARK'S,INT.,,1995-09-19,Deep Space Nine
21,NOG,        And it was sitting here on the bar    all along. That's incredible.,1    INT. QUARK'S,QUARK'S,INT.,,1995-09-19,Deep Space Nine
22,JAKE,   It's a Ferengi tooth sharpener.,1    INT. QUARK'S,QUARK'S,INT.,,1995-09-19,Deep Space Nine
23,WORF,        How much?,1    INT. QUARK'S,QUARK'S,INT.,,1995-09-19,Deep Space Nine
24,QUARK,   Rom.,1    INT. QUARK'S,QUARK'S,INT.,,1995-09-19,Deep Space Nine
25,ROM,"   Brother, you're here. If you    hurry, there still might be some    choice items left for you to buy.",1    INT. QUARK'S,QUARK'S,INT.,,1995-09-19,Deep Space Nine
