,character,quote,scene,location,view,episode,date,series,file
0,ODO,   I found twenty-seven voles in his    storeroom.,2    INT. COMMANDER'S OFFICE,COMMANDER'S OFFICE,INT.,Through the Looking Glass,1995-02-02,Deep Space Nine,466.txt
1,QUARK,"   Vole infestations are not uncommon    on this station.  If you don't believe    me, ask Chief O'Brien.",2    INT. COMMANDER'S OFFICE,COMMANDER'S OFFICE,INT.,Through the Looking Glass,1995-02-02,Deep Space Nine,466.txt
2,ODO,"   When I came in, he and Morn were    painting numbers on the voles' backs.",2    INT. COMMANDER'S OFFICE,COMMANDER'S OFFICE,INT.,Through the Looking Glass,1995-02-02,Deep Space Nine,466.txt
3,QUARK,   We were just... counting them to see    how many we'd caught.,2    INT. COMMANDER'S OFFICE,COMMANDER'S OFFICE,INT.,Through the Looking Glass,1995-02-02,Deep Space Nine,466.txt
4,SISKO,   You were getting ready to stage a    vole fight.,2    INT. COMMANDER'S OFFICE,COMMANDER'S OFFICE,INT.,Through the Looking Glass,1995-02-02,Deep Space Nine,466.txt
5,QUARK,       A vole fight?  I'm appalled.       Do you really think that was what    Morn was up to?,2    INT. COMMANDER'S OFFICE,COMMANDER'S OFFICE,INT.,Through the Looking Glass,1995-02-02,Deep Space Nine,466.txt
6,SISKO,       I want the voles confiscated and    removed from the station.,2    INT. COMMANDER'S OFFICE,COMMANDER'S OFFICE,INT.,Through the Looking Glass,1995-02-02,Deep Space Nine,466.txt
7,QUARK,   But you can't confiscate Morn's voles.     They're like... his pets.,2    INT. COMMANDER'S OFFICE,COMMANDER'S OFFICE,INT.,Through the Looking Glass,1995-02-02,Deep Space Nine,466.txt
8,SISKO,"   I'll see if I can get him some    goldfish.  And now, if you gentlemen    will excuse me, it's late.",2    INT. COMMANDER'S OFFICE,COMMANDER'S OFFICE,INT.,Through the Looking Glass,1995-02-02,Deep Space Nine,466.txt
9,QUARK,   Poor Morn.  This is going to break    his hearts.,2    INT. COMMANDER'S OFFICE,COMMANDER'S OFFICE,INT.,Through the Looking Glass,1995-02-02,Deep Space Nine,466.txt
10,SISKO,"   Ops is yours, Lieutenant.",4    INT. OPS,OPS,INT.,Through the Looking Glass,1995-02-02,Deep Space Nine,466.txt
11,SISKO,"       Going somewhere, Chief?",4    INT. OPS,OPS,INT.,Through the Looking Glass,1995-02-02,Deep Space Nine,466.txt
12,O'BRIEN,"   Sir, I need to talk to you.       It's kind of private.",4    INT. OPS,OPS,INT.,Through the Looking Glass,1995-02-02,Deep Space Nine,466.txt
13,ODO,"   We were just leaving.       Come on, let's go break the news to    Morn.",4    INT. OPS,OPS,INT.,Through the Looking Glass,1995-02-02,Deep Space Nine,466.txt
14,SISKO,       Do you want to talk in my office?,4    INT. OPS,OPS,INT.,Through the Looking Glass,1995-02-02,Deep Space Nine,466.txt
15,O'BRIEN,"   Actually, I thought we'd go to my    place.",4    INT. OPS,OPS,INT.,Through the Looking Glass,1995-02-02,Deep Space Nine,466.txt
16,O'BRIEN,   Get onto the transporter pad...       Now.,4    INT. OPS,OPS,INT.,Through the Looking Glass,1995-02-02,Deep Space Nine,466.txt
17,SISKO,   What do you think you're doing?,4    INT. OPS,OPS,INT.,Through the Looking Glass,1995-02-02,Deep Space Nine,466.txt
