,character,quote,scene,location,view,episode,date,series
0,QUARK ,   Have you ever seen anything so   disgusting?,1    INT. QUARK'S,QUARK'S,INT.,,1998-10-26,Deep Space Nine
1,QUARK,   The way he's undressing her with   his eyes... and look at his   hands!,1    INT. QUARK'S,QUARK'S,INT.,,1998-10-26,Deep Space Nine
2,ODO,   What about them?,1    INT. QUARK'S,QUARK'S,INT.,,1998-10-26,Deep Space Nine
3,QUARK,   Those gestures -- they're   obscene. You should arrest him.,1    INT. QUARK'S,QUARK'S,INT.,,1998-10-26,Deep Space Nine
4,ODO,   You can't be serious...,1    INT. QUARK'S,QUARK'S,INT.,,1998-10-26,Deep Space Nine
5,QUARK,       He's pitiful. Doesn't he realize   she loves me?,1    INT. QUARK'S,QUARK'S,INT.,,1998-10-26,Deep Space Nine
6,ODO,"   Actually, I don't think he   does... and to be perfectly   frank, I don't think she does   either.",1    INT. QUARK'S,QUARK'S,INT.,,1998-10-26,Deep Space Nine
7,QUARK,"       Oh, what do you know -- you don't   even recognize an obscene hand   gesture when you see one.",1    INT. QUARK'S,QUARK'S,INT.,,1998-10-26,Deep Space Nine
8,ODO,   Maybe not. But I recognize   deluded fool when I see one..    (looking directly at    Quark)   ... and I'm seeing one now.,1    INT. QUARK'S,QUARK'S,INT.,,1998-10-26,Deep Space Nine
9,QUARK,   Thanks for the support.,1    INT. QUARK'S,QUARK'S,INT.,,1998-10-26,Deep Space Nine
10,ROM,   Brother! I just talked to   Moogie. She says Grand Nagus Zek   has disappeared.,1    INT. QUARK'S,QUARK'S,INT.,,1998-10-26,Deep Space Nine
11,QUARK,"   What do you mean, ""disappeared?""",1    INT. QUARK'S,QUARK'S,INT.,,1998-10-26,Deep Space Nine
12,ROM,   He left her a note saying he was   going on a business safari to   open new territories for   financial exploitation.,1    INT. QUARK'S,QUARK'S,INT.,,1998-10-26,Deep Space Nine
13,QUARK,   That's our Nagus.,1    INT. QUARK'S,QUARK'S,INT.,,1998-10-26,Deep Space Nine
14,ROM,   He said held be back in five days   -- that was twelve days ago!,1    INT. QUARK'S,QUARK'S,INT.,,1998-10-26,Deep Space Nine
15,QUARK,   Twelve days?,1    INT. QUARK'S,QUARK'S,INT.,,1998-10-26,Deep Space Nine
16,ODO,   Has he done this before?,1    INT. QUARK'S,QUARK'S,INT.,,1998-10-26,Deep Space Nine
17,ROM,   Not for this long.       Moogie did some checking -- no   one's heard from him. He could   be hurt -- or even dead. We have   to do something!,1    INT. QUARK'S,QUARK'S,INT.,,1998-10-26,Deep Space Nine
18,QUARK,"   He probably stopped off on Risa --   you know, for a little rest and   relaxation.",1    INT. QUARK'S,QUARK'S,INT.,,1998-10-26,Deep Space Nine
19,ROM,       Risa? With all those gorgeous   women... he wouldn't do that to   Moogie!,1    INT. QUARK'S,QUARK'S,INT.,,1998-10-26,Deep Space Nine
20,QUARK,   Have you looked at our mother   lately? She's not getting any   younger.       Now do us both a favor and stop   worrying about Zek. He'll show   up.,1    INT. QUARK'S,QUARK'S,INT.,,1998-10-26,Deep Space Nine
21,ROM,   Are you sure?,1    INT. QUARK'S,QUARK'S,INT.,,1998-10-26,Deep Space Nine
22,QUARK,"   Good-bye, Rom.",1    INT. QUARK'S,QUARK'S,INT.,,1998-10-26,Deep Space Nine
23,QUARK,       Where'd Ezri go?,1    INT. QUARK'S,QUARK'S,INT.,,1998-10-26,Deep Space Nine
24,ODO,   She slipped out the back. With   Doctor Bashir.,1    INT. QUARK'S,QUARK'S,INT.,,1998-10-26,Deep Space Nine
25,QUARK,       They left together?,1    INT. QUARK'S,QUARK'S,INT.,,1998-10-26,Deep Space Nine
26,ODO,       I believe they were holding   hands.,1    INT. QUARK'S,QUARK'S,INT.,,1998-10-26,Deep Space Nine
27,QUARK,"   Blessed Exchequer, whose greed is   eternal... whose wealth is as vast as   the cosmos...",2    INT. QUARK'S QUARTERS,QUARK'S QUARTERS,INT.,,1998-10-26,Deep Space Nine
28,QUARK,   Allow this humble bribe to open   your ears and hear this plea from   your most devout debtor.,2    INT. QUARK'S QUARTERS,QUARK'S QUARTERS,INT.,,1998-10-26,Deep Space Nine
29,QUARK,   Continue to bless my bar with a   steady stream of thirsty   customers whose pockets are lined   with latinum and whose skills at   dabo are shaky at best...,2    INT. QUARK'S QUARTERS,QUARK'S QUARTERS,INT.,,1998-10-26,Deep Space Nine
30,QUARK,"   And while you're at it, see if   there's anything you can do about   Doctor Bashir... don't hurt him   or anything, just get him off the   station for a couple of months.   Oh, and one other thing...",2    INT. QUARK'S QUARTERS,QUARK'S QUARTERS,INT.,,1998-10-26,Deep Space Nine
31,QUARK,"   I opened ""negotiations"" with Ezri   three months ago, but I can't   seem to close the deal. Anything   you can do --",2    INT. QUARK'S QUARTERS,QUARK'S QUARTERS,INT.,,1998-10-26,Deep Space Nine
32,QUARK,   Come in.,2    INT. QUARK'S QUARTERS,QUARK'S QUARTERS,INT.,,1998-10-26,Deep Space Nine
