,character,quote,scene,location,view,episode,date,series,file
0,SISKO,   Come in.,2    INT. COMMANDER'S OFFICE,COMMANDER'S OFFICE,INT.,Dramatis Personae,1993-02-24,Deep Space Nine,418.txt
1,KIRA,"   Commander, I just received word that    a Valerian transport has requested    permission to dock here at the    station.",2    INT. COMMANDER'S OFFICE,COMMANDER'S OFFICE,INT.,Dramatis Personae,1993-02-24,Deep Space Nine,418.txt
2,SISKO,       Let me guess.  You're here to    recommend we deny their request.,2    INT. COMMANDER'S OFFICE,COMMANDER'S OFFICE,INT.,Dramatis Personae,1993-02-24,Deep Space Nine,418.txt
3,KIRA,   The Valerians ran weapons-grade    dolamide to Cardassian forces during    the occupation of Bajor.,2    INT. COMMANDER'S OFFICE,COMMANDER'S OFFICE,INT.,Dramatis Personae,1993-02-24,Deep Space Nine,418.txt
4,SISKO,   I'm aware of that...,2    INT. COMMANDER'S OFFICE,COMMANDER'S OFFICE,INT.,Dramatis Personae,1993-02-24,Deep Space Nine,418.txt
5,KIRA,   I believe they're continuing to ship    weapons to the Cardassians... weapons    that could eventually be used to    attack Bajor.,2    INT. COMMANDER'S OFFICE,COMMANDER'S OFFICE,INT.,Dramatis Personae,1993-02-24,Deep Space Nine,418.txt
6,SISKO,"   I share your concern, Major.  But    unless we have proof to back up those    charges...",2    INT. COMMANDER'S OFFICE,COMMANDER'S OFFICE,INT.,Dramatis Personae,1993-02-24,Deep Space Nine,418.txt
7,KIRA,"   The proof is on the ship.  Let me    conduct a search and if I find any    dolamide, we can confiscate it.",2    INT. COMMANDER'S OFFICE,COMMANDER'S OFFICE,INT.,Dramatis Personae,1993-02-24,Deep Space Nine,418.txt
8,SISKO,"   I'm afraid it's not that simple.     Dolamide is used for power generators,    reactors, in short-range transports...",2    INT. COMMANDER'S OFFICE,COMMANDER'S OFFICE,INT.,Dramatis Personae,1993-02-24,Deep Space Nine,418.txt
9,KIRA,   And for weapons.,2    INT. COMMANDER'S OFFICE,COMMANDER'S OFFICE,INT.,Dramatis Personae,1993-02-24,Deep Space Nine,418.txt
10,SISKO,   Only if it's extremely pure.,2    INT. COMMANDER'S OFFICE,COMMANDER'S OFFICE,INT.,Dramatis Personae,1993-02-24,Deep Space Nine,418.txt
11,KIRA,   So we're going to do nothing.,2    INT. COMMANDER'S OFFICE,COMMANDER'S OFFICE,INT.,Dramatis Personae,1993-02-24,Deep Space Nine,418.txt
12,SISKO,   I didn't say that.  But we can't    just board their ship and start    tearing it apart.,2    INT. COMMANDER'S OFFICE,COMMANDER'S OFFICE,INT.,Dramatis Personae,1993-02-24,Deep Space Nine,418.txt
13,KIRA,   Then what can we do?,2    INT. COMMANDER'S OFFICE,COMMANDER'S OFFICE,INT.,Dramatis Personae,1993-02-24,Deep Space Nine,418.txt
14,SISKO,   You bring me evidence that the    Valerians are dealing in weapons-   grade dolamide and I promise you the    Federation will use every kind of    diplomatic pressure to stop them.,2    INT. COMMANDER'S OFFICE,COMMANDER'S OFFICE,INT.,Dramatis Personae,1993-02-24,Deep Space Nine,418.txt
15,KIRA,   You think that'll work?,2    INT. COMMANDER'S OFFICE,COMMANDER'S OFFICE,INT.,Dramatis Personae,1993-02-24,Deep Space Nine,418.txt
16,SISKO,       It will if the Valerians want to    keep trading with the Federation.,2    INT. COMMANDER'S OFFICE,COMMANDER'S OFFICE,INT.,Dramatis Personae,1993-02-24,Deep Space Nine,418.txt
17,KIRA,"    (still not totally     convinced)   All right, we'll try it your way.",2    INT. COMMANDER'S OFFICE,COMMANDER'S OFFICE,INT.,Dramatis Personae,1993-02-24,Deep Space Nine,418.txt
18,SISKO,   Good.  Then you'll see to it that    the Valerian ship is cleared for    docking.,2    INT. COMMANDER'S OFFICE,COMMANDER'S OFFICE,INT.,Dramatis Personae,1993-02-24,Deep Space Nine,418.txt
19,KIRA,"    (still doesn't relish     the thought)   Yes, sir.",2    INT. COMMANDER'S OFFICE,COMMANDER'S OFFICE,INT.,Dramatis Personae,1993-02-24,Deep Space Nine,418.txt
20,DAX,"   Chief, I have a subspace message for    you from your wife.  They've arrived    safely on Bajor.",3    INT. OPS - CONTINUOUS,OP,INT.,Dramatis Personae,1993-02-24,Deep Space Nine,418.txt
21,O'BRIEN,"   Imagine, taking eleven bored    schoolkids on a visit to the grain    processing center at Lasuma.  I'm    glad it's not me.",3    INT. OPS - CONTINUOUS,OP,INT.,Dramatis Personae,1993-02-24,Deep Space Nine,418.txt
22,ODO,       Here's the information you wanted on    the captain of the Valerian ship.,3    INT. OPS - CONTINUOUS,OP,INT.,Dramatis Personae,1993-02-24,Deep Space Nine,418.txt
23,KIRA,   Let me know if you find anything    else.,3    INT. OPS - CONTINUOUS,OP,INT.,Dramatis Personae,1993-02-24,Deep Space Nine,418.txt
24,DAX,   Sensors are reading elevated neutrino    levels at the wormhole... Something's    coming through...,3    INT. OPS - CONTINUOUS,OP,INT.,Dramatis Personae,1993-02-24,Deep Space Nine,418.txt
25,KIRA,   On screen.,3    INT. OPS - CONTINUOUS,OP,INT.,Dramatis Personae,1993-02-24,Deep Space Nine,418.txt
26,,   The wormhole opens and a KLINGON    BIRD OF PREY comes blasting through.,6    INT. OPS - CONTINUOUS - INCLUDE VIEWSCREEN,OP,INT.,Dramatis Personae,1993-02-24,Deep Space Nine,418.txt
27,DAX,       It's the Klingon vessel Toh'Kaht.,6    INT. OPS - CONTINUOUS - INCLUDE VIEWSCREEN,OP,INT.,Dramatis Personae,1993-02-24,Deep Space Nine,418.txt
28,KIRA,   They're not due back for another    month.,6    INT. OPS - CONTINUOUS - INCLUDE VIEWSCREEN,OP,INT.,Dramatis Personae,1993-02-24,Deep Space Nine,418.txt
29,SISKO,   Open hailing frequencies.,6    INT. OPS - CONTINUOUS - INCLUDE VIEWSCREEN,OP,INT.,Dramatis Personae,1993-02-24,Deep Space Nine,418.txt
30,O'BRIEN,   I'm reading a transporter signal.     Someone must have beamed off the    ship just as it exploded.,6    INT. OPS - CONTINUOUS - INCLUDE VIEWSCREEN,OP,INT.,Dramatis Personae,1993-02-24,Deep Space Nine,418.txt
31,SISKO,   Mister O'Brien -- ?,6    INT. OPS - CONTINUOUS - INCLUDE VIEWSCREEN,OP,INT.,Dramatis Personae,1993-02-24,Deep Space Nine,418.txt
32,O'BRIEN,   Something's interfering with the    rematerialization process.,6    INT. OPS - CONTINUOUS - INCLUDE VIEWSCREEN,OP,INT.,Dramatis Personae,1993-02-24,Deep Space Nine,418.txt
33,DAX,   Lock onto him with our Transporter    signal.  Try boosting the annular    containment field.,6    INT. OPS - CONTINUOUS - INCLUDE VIEWSCREEN,OP,INT.,Dramatis Personae,1993-02-24,Deep Space Nine,418.txt
34,O'BRIEN,   I'm already there...,6    INT. OPS - CONTINUOUS - INCLUDE VIEWSCREEN,OP,INT.,Dramatis Personae,1993-02-24,Deep Space Nine,418.txt
35,BASHIR,   He's been hit by weapons fire.  It's    severe.  We've got to get him into    cryo-stasis.,6    INT. OPS - CONTINUOUS - INCLUDE VIEWSCREEN,OP,INT.,Dramatis Personae,1993-02-24,Deep Space Nine,418.txt
36,KLINGON,   Victory...,6    INT. OPS - CONTINUOUS - INCLUDE VIEWSCREEN,OP,INT.,Dramatis Personae,1993-02-24,Deep Space Nine,418.txt
