,character,quote,episode
0,DATA/HOLMES,       -- it was then that I began to   suspect that your brother did not   die by his own hand... that he was   in fact... murdered.,"""Ship in a Bottle"""
1,GENTLEMAN,       Murdered?,"""Ship in a Bottle"""
2,GEORDI/WATSON,"   But Holmes, the vial of poison   found in his hand?","""Ship in a Bottle"""
3,DATA/HOLMES,"   That was the first clue, Watson.   The vial contained strychnine,   which as you well know induces   violent muscular spasms. It is   difficult to imagine that someone   in the throes of so gruesome a   death could have held on to so   delicate a container without   shattering it.","""Ship in a Bottle"""
4,GEORDI/WATSON,   You mean... ?,"""Ship in a Bottle"""
5,DATA/HOLMES,   Exactly! The vial was placed in   his hand after he died.,"""Ship in a Bottle"""
6,GEORDI/WATSON,   Then what did kill him?,"""Ship in a Bottle"""
7,DATA/HOLMES,"   The cigar, of course.","""Ship in a Bottle"""
8,GENTLEMAN,       Cigar?,"""Ship in a Bottle"""
9,DATA/HOLMES,"   Upon closer inspection of the room   where your brother was found, I   discovered a fresh burn mark on   the carpet. Analysis of the ash   revealed that the cigar was laced   with strychnine.","""Ship in a Bottle"""
10,GENTLEMAN,   This is utter nonsense. What   about the suicide note? It was   written in my dear brother's own   hand.,"""Ship in a Bottle"""
11,DATA/HOLMES,"   With practice, handwriting can be   forged.","""Ship in a Bottle"""
12,DATA/HOLMES,   It takes a trained eye to notice   certain... discrepancies.,"""Ship in a Bottle"""
13,DATA/HOLMES,"   For example, whether someone is...","""Ship in a Bottle"""
14,DATA/HOLMES,   Right or left handed!,"""Ship in a Bottle"""
15,DATA/HOLMES,   Your brother was right handed!   The alleged suicide note was   written by a left handed   individual such as yourself!,"""Ship in a Bottle"""
16,GEORDI,   Uh... Data? It's in his right   hand.,"""Ship in a Bottle"""
17,DATA,       Curious... There seems to be a   problem in the Holodeck's spatial   orientation systems.,"""Ship in a Bottle"""
18,GENTLEMAN,       London's greatest detective...,"""Ship in a Bottle"""
19,GEORDI,       Freeze program.,"""Ship in a Bottle"""
20,GEORDI,   La Forge to Barclay...,"""Ship in a Bottle"""
21,BARCLAY,   Barclay here.,"""Ship in a Bottle"""
22,GEORDI,"   Reg, something went wrong with the   Holodeck program again.","""Ship in a Bottle"""
23,BARCLAY,   I -- I'm sorry... I'll look into   it right away.,"""Ship in a Bottle"""
24,GEORDI,"   Thanks. Come on, Data, we better   get back to Engineering.","""Ship in a Bottle"""
25,GEORDI,"   Computer, end program and save.","""Ship in a Bottle"""
26,GEORDI,"   Whoa, Reg --","""Ship in a Bottle"""
27,BARCLAY,"   Oh, sorry, Commander... I'm on my   way to the... Holodeck...","""Ship in a Bottle"""
28,DATA,   Sherlock Holmes program Three-A   has demonstrated some very curious   anomalies.,"""Ship in a Bottle"""
29,BARCLAY,"   There must be a glitch in the   matrix diodes. But I'll track it   down, don't worry.","""Ship in a Bottle"""
30,GEORDI,"   Thanks, Reg. See you later.","""Ship in a Bottle"""
31,BARCLAY,   Computer... run a diagnostic on   all Sherlock Holmes files and   display any anomalous programming   sequences.,"""Ship in a Bottle"""
32,COMPUTER,   Diagnostic complete .. all files   conform to specified parameters   except those contained in   protected memory.,"""Ship in a Bottle"""
33,BARCLAY,       Protected memory... ? Display   those sequences.,"""Ship in a Bottle"""
34,BARCLAY,       Computer... unlock this sequence   and run the program.,"""Ship in a Bottle"""
35,BARCLAY,   Who are you... ?,"""Ship in a Bottle"""
