,character,quote,episode
0,BEVERLY,"       Most people on this colony will   remember my grandmother as a   ""healer""... but her abilities   went beyond that. She didn't just   relieve pain, or fight illness...   because she knew that well-being   is more than a healthy body. Her   remedies included words of advice   as often as they did medicinal   teas...       And sometimes they were just as   bitter-tasting.","""Sub Rosa"""
1,BEVERLY,"       But Nana's favorite thing was   cooking. My most vivid memories   growing up were of Nana in the   kitchen... the sounds of bubbling   pots and wooden spoons... the   exotic tastes and smells...       In fact, she was in the middle of   writing a cook book when she died.   I'd like to share with you one of   her recipes... it was my favorite.","""Sub Rosa"""
2,BEVERLY,"       ""Nana's Gingerbread. Mix one gram   currants... six hundred   milliliters of flour... two   hundred milliliters buttermilk...   and a dollop of molasses... ""       ""Two pinches of ginger and   cinnamon... and two hundred   milliliters of sugar.""","""Sub Rosa"""
3,BEVERLY,"       ""Heat the oven until it's happy...   then pour the batter into the arms   of a welcoming pan... ""       I never knew when an oven was   happy, and I never saw arms on a   pan... but it sure tasted great.","""Sub Rosa"""
4,BEVERLY,"       I'll miss Felisa Howard very   much... her healing... her   advice... and most of all, her   gingerbread.","""Sub Rosa"""
5,MATURIN,"       ""And so now we commit her body to   the ground; earth to earth, ashes   to ashes, dust to dust... in sure   and certain hope that her memory   will be kept alive within us all.""","""Sub Rosa"""
6,MATURIN,   How long are you planning to stay?,"""Sub Rosa"""
7,PICARD,   Just a few more hours. Why?,"""Sub Rosa"""
8,MATURIN,"   Well, as I'm sure you know, Caldos   was one of the first terraforming   projects of the Federation. Some   of our weather controls and fusion   systems are nearly a century old.   I wouldn't mind having a starship   Engineer take a look at them...   perhaps give us a few upgrades.     ","""Sub Rosa"""
9,,,"""Sub Rosa"""
10,MATURIN ,       Maybe in exchange for a tour of   the colony... and a home-cooked   meal?,"""Sub Rosa"""
11,PICARD,   We're due at Starbase six-two-one   tomorrow morning... but we can   delay that for a few days. Yes...   I'm sure we can find some time.,"""Sub Rosa"""
12,MATURIN,   Excellent.,"""Sub Rosa"""
13,PICARD,   I look forward to that tour. The   Caldos Colony is really an   impressive accomplishment. I   actually feel like I'm in the   Scottish Highlands.,"""Sub Rosa"""
14,MATURIN,   That was the intent. The   cornerstone of every building in   town was brought from Edinburgh..   Glasgow... Aberdeen... The   founders wanted everyone to have   a piece of the real thing here.   They didn't just want to imitate   Scotland -- they wanted to   recreate it.,"""Sub Rosa"""
15,PICARD,"   I'm curious, Governor... you're   obviously not from Scotland. What   drew you here?","""Sub Rosa"""
16,MATURIN,"   There's something about the   culture... the heritage. When I   was a boy, my family visited   Glamis Castle in Scotland. As I   looked out across the highlands,   I felt as if I'd come home.","""Sub Rosa"""
17,TROI,"   I thought it was a beautiful   eulogy, Beverly.","""Sub Rosa"""
18,BEVERLY,   Thank you.,"""Sub Rosa"""
19,BEVERLY,"   You know, I never realized how   many friends Nana had...","""Sub Rosa"""
20,TROI,   Did you come home often?,"""Sub Rosa"""
21,BEVERLY,   Not really. After I married Jack   and moved to Earth... I never   seemed to get back here...,"""Sub Rosa"""
22,BEVERLY,   Deanna... did you notice a   peculiar man at the service? He   looked like he was in his midthirties...   dark hair?,"""Sub Rosa"""
23,TROI,   No...,"""Sub Rosa"""
24,BEVERLY,   He threw a flower on Nana's   grave... a camellia... it was her   favorite flower. She used to keep   them all over the house.,"""Sub Rosa"""
25,TROI,   Maybe he was a friend... or one of   her patients.,"""Sub Rosa"""
26,BEVERLY,   Maybe. It was just such a   personal gesture... and he gave me   the oddest look...,"""Sub Rosa"""
27,BEVERLY,   Well... I suppose I should go back   to the house. There are some   things there I'd like to take care   of.       It's only a few minutes away.   Would you mind coming along?,"""Sub Rosa"""
28,TROI,   I'd love to.,"""Sub Rosa"""
29,TROI,       Your grandmother had remarkable   green eyes...,"""Sub Rosa"""
30,BEVERLY,   Every woman in the Howard family   has had green eyes... except for   my mother and me.,"""Sub Rosa"""
31,TROI,   How well do you remember your   mother?,"""Sub Rosa"""
32,BEVERLY,"   Not very well... I was so young   when she died. I just have the   image of her face... and I can   hear the sound of her voice, but   I can't tell you anything specific   she ever said...       Mostly, I remember Nana.","""Sub Rosa"""
33,TROI,       That's beautiful... what is it?,"""Sub Rosa"""
34,BEVERLY,"   A family heirloom... it's been in   the Howard clan for at least   twenty generations. It's supposed   to symbolize the ""enduring spirit   of the Howards, wherever they may   go -- a shining light to guide   their fortune.""       Nana always kept it lit. I can   remember sitting in here listening   to ghost stories with only this   candle burning...","""Sub Rosa"""
35,TROI,   You should take it with you...,"""Sub Rosa"""
36,BEVERLY,   I think I will.,"""Sub Rosa"""
37,TROI,   Well... I'm going to head back to   the ship.,"""Sub Rosa"""
38,BEVERLY,   You don't have to go.,"""Sub Rosa"""
39,TROI,   Something tells me you'd like some   time alone.       I'll see you later.,"""Sub Rosa"""
40,BEVERLY,   Thanks.,"""Sub Rosa"""
41,BEVERLY,   Who's there?,"""Sub Rosa"""
42,BEVERLY,   What the hell are you doing?,"""Sub Rosa"""
43,BEVERLY,       Get out of my house.,"""Sub Rosa"""
44,QUINT,"   I wouldn't get so high and mighty   with me, Beverly Howard Crusher.   I've spent more time here in the   past five years than you have in   the past twenty.","""Sub Rosa"""
45,BEVERLY,   How do you know who I am?,"""Sub Rosa"""
46,QUINT,   I'm Ned Quint. I took care of   your grandmother's house and her   affairs.,"""Sub Rosa"""
47,BEVERLY,   Nana never mentioned you...,"""Sub Rosa"""
48,QUINT,   There's a lot of things she didn't   tell you.,"""Sub Rosa"""
49,QUINT,   Now -- let me get rid of that   candle.,"""Sub Rosa"""
50,BEVERLY,   What do you mean?,"""Sub Rosa"""
51,QUINT,   That candle has brought nothing   but misery and bad luck to your   grandmother.,"""Sub Rosa"""
52,BEVERLY,"   Now listen, Mister Quint -- I   don't know what your relationship   was with my grandmother. But this   is my house now and these are my   things --","""Sub Rosa"""
53,QUINT,"   I'm telling ya -- that candle has   been a curse on your family for   generations. And if you had a   lick of sense, you'd listen to me   right now and do away with it.   Now give it to me.","""Sub Rosa"""
54,BEVERLY,       This is a family heirloom and I   intend to keep it. I would like   you to leave my house. Now.,"""Sub Rosa"""
