,character,quote,episode
0,PICARD ,"   Captain's log, Stardate 43489.2.   We have arrived at Angosia, a   planet that is eager for   membership in the Federation.","""The Hunted"""
1,PICARD,"   I'm greatly impressed with what   I've seen so far, Prime Minister.","""The Hunted"""
2,NAYROK,"   Then I hope it will reflect   favorably in your report, Captain.","""The Hunted"""
3,RIKER,   It's a tribute to your people to   have recovered so rapidly from   the Tarsian War.,"""The Hunted"""
4,NAYROK,   It is indeed.       We are not warriors. We believe   reason can settle disputes. But   not every culture agrees with our   position.,"""The Hunted"""
5,PICARD,   An unfortunate reality.,"""The Hunted"""
6,NAYROK,"   The development of the mind, the   cultivation of the intellect --   these are the pursuits to which   the Angosians have dedicated   themselves for centuries.","""The Hunted"""
7,ZAYNAR,"   I'm sorry to interrupt, Prime   Minister. There's a problem.   May I see you a moment?","""The Hunted"""
8,NAYROK,"   Excuse me, gentlemen.","""The Hunted"""
9,PICARD,"   I think they'll make a fine   addition to the Federation, Number   One...","""The Hunted"""
10,RIKER,   I'm not sure I'd want to live   here. A little stuffy for my   taste.,"""The Hunted"""
11,NAYROK,   A prisoner has escaped from the   penal colony on Lunar Five.       Two guards are dead. The prisoner   has taken a transport vessel.,"""The Hunted"""
12,RIKER,   Do you have means of pursuit?,"""The Hunted"""
13,NAYROK,"   The tracking station was   sabotaged. The entire base is   in chaos. We have ordered ships   from the surface to follow him,   but to be honest, our civilian   pilots are not trained to handle   this...","""The Hunted"""
14,RIKER,"   With your permission, sir... ?","""The Hunted"""
15,RIKER,"       Mister Data, a stolen transport   vessel has departed from Lunar   Five. Have you picked it up on   sensors?","""The Hunted"""
16,INTERCUT:,,"""The Hunted"""
17,DATA,"       Yes, Commander.","""The Hunted"""
18,RIKER,   Good. Detain the vessel and   quarantine the pilot.       Is he armed?,"""The Hunted"""
19,NAYROK,"   Yes. And he's very dangerous,   Captain. Lunar Five is our   maximum security facility.","""The Hunted"""
20,RIKER,"   Did you hear that, Data?","""The Hunted"""
21,DATA,"   Yes, Commander, we will use   extreme caution.","""The Hunted"""
22,RIKER,   Keep us informed. Riker out.,"""The Hunted"""
23,WORF,"   On screen, sir...","""The Hunted"""
24,END INTERCUT:,,"""The Hunted"""
25,DATA,"   Specifications on the vessel,   Mister Worf.","""The Hunted"""
26,WORF,   No warp drive. Minimal weaponry.,"""The Hunted"""
27,DATA,"   Heading, Ensign Crusher.","""The Hunted"""
28,WESLEY,   Three-one-nine mark   two-five-zero.,"""The Hunted"""
29,GEORDI,"   Vessel's speed increasing to   point-two impulse. He's seen us,   Data.","""The Hunted"""
30,GEORDI,       The ship's drive section...,"""The Hunted"""
31,WESLEY,   What happened to the rest of his   ship?,"""The Hunted"""
32,DATA,   Scan the drive section for life   form readings.,"""The Hunted"""
33,WORF,   None.,"""The Hunted"""
34,DATA,"   Mister Crusher, bring us around   to the back side of the asteroid.","""The Hunted"""
35,GEORDI,   Sensors indicate wreckage on the   asteroid's surface.,"""The Hunted"""
36,WORF,   No life signs.,"""The Hunted"""
37,DATA,"   Apparently, he did not survive.","""The Hunted"""
38,WESLEY,"   Data, the drive section...   where'd it go?","""The Hunted"""
39,WESLEY,   There's no sign of it on its   previous heading. Someone must   be at the helm.,"""The Hunted"""
40,RIKER,"   Status report, Mister Data?","""The Hunted"""
41,DATA,"       I am afraid the prisoner has eluded   us, sir.","""The Hunted"""
42,DATA,   We followed procedures precisely.   Scanners indicated no life forms   present in the drive section.   I cannot explain how he escaped.,"""The Hunted"""
43,WORF,   Incoming message from the Angosian   prime minister.,"""The Hunted"""
44,PICARD,    (settling into the     Command Chair)   On screen.,"""The Hunted"""
45,NAYROK,"   We've identified the prisoner,   Captain. His name is Roga Danar.   His criminal record is too long   to go into. But you must be aware   that he is given to bouts of   uncontrollable violence.","""The Hunted"""
46,PICARD,"   We appreciate the warning, Prime   Minister. We will keep you posted   on our progress.","""The Hunted"""
47,RIKER,"   Mister La Forge, how far and how   fast can that transport ship   travel?","""The Hunted"""
48,GEORDI,"   Without warp drive, there's no   way it could be outside our range   by now.","""The Hunted"""
49,WESLEY,"   We've been sweeping the area   constantly, Commander. There's   nothing within sensor range.","""The Hunted"""
50,PICARD,   A cloaking device?,"""The Hunted"""
51,WORF,   The Angosians have no cloaking   technology...,"""The Hunted"""
52,RIKER,"       Unless he's borrowing one...       If he's hanging over the planet's   pole, its magnetic field could   confuse the sensors.","""The Hunted"""
53,DATA,"   I believe I can recalibrate our   sensors to read through the   electromagnetic interference over   the poles, Commander.","""The Hunted"""
54,RIKER,       Realign for polar orbit.,"""The Hunted"""
55,WESLEY,"   Aye, sir.","""The Hunted"""
56,DATA,"   There he is, Commander. You were   correct.","""The Hunted"""
57,RIKER,"   The fellow knows all the tricks,   doesn't he...","""The Hunted"""
58,DATA,   There are still no life form   readings coming from the vessel.,"""The Hunted"""
59,GEORDI,"   It could be the magnetic   interference, Data.","""The Hunted"""
60,DATA,   I have compensated. There are no   readings.,"""The Hunted"""
61,PICARD,"   We'll have our answer shortly.   Lock on tractor beam, Mister La   Forge.","""The Hunted"""
62,GEORDI,   Tractor beam locking on.,"""The Hunted"""
63,DATA,"   Sir, the vessel is coming about.","""The Hunted"""
64,RIKER,    (looking over his     shoulder)   Is he out of his mind?,"""The Hunted"""
65,WORF,   Sensors detect a massive power   build up in his aft thrusters.,"""The Hunted"""
66,PICARD,"   On Main Viewer, Mister Worf.","""The Hunted"""
67,GEORDI,   He's making a suicide run.,"""The Hunted"""
68,DATA,   Shields have been automatically   activated. Tractor beam   disengaged.,"""The Hunted"""
69,WESLEY,       He's bounced off our shields.,"""The Hunted"""
70,RIKER,   That's one trick I didn't even   know about...,"""The Hunted"""
71,PICARD,"   Ensign Crusher, fix coordinates   of that vessel. We'll transport   the whole thing to a shuttlebay   if we have to.","""The Hunted"""
72,DATA,"   I do not think that will be   necessary, Captain. He is no   longer in the drive section.     ","""The Hunted"""
73,,,"""The Hunted"""
74,DATA ,       I anticipated this diversionary   tactic based on his pattern to   date. We are picking up a   cylindrical object approximately   seven meters in length and three   meters in diameter.,"""The Hunted"""
75,WORF,"   On screen, Captain.","""The Hunted"""
76,WESLEY,   An escape pod.,"""The Hunted"""
77,GEORDI,   This guy is incredible.,"""The Hunted"""
78,DATA,       Yet there are still no life form   readings.,"""The Hunted"""
79,PICARD,"   Transporter Room Four, prepare   to beam aboard anything that's   large enough to be a humanoid   adult from inside that pod.","""The Hunted"""
80,WORF,   Security to Transporter Room Four.,"""The Hunted"""
81,O'BRIEN,"   We are holding the contents in   stasis pending arrival of   security. An illicit weapon has   been detected in the transport   beam, sir. It's been rendered   inoperable.","""The Hunted"""
82,RIKER,       Let's greet our guest.,"""The Hunted"""
83,SECURITY MAN,   Just stay where you are.,"""The Hunted"""
84,RIKER,   What the hell...,"""The Hunted"""
85,RIKER,   Take him to the detention cell.   Set phasers on kill.,"""The Hunted"""
86,NAYROK,   We need a few hours to get the   containment field on Lunar Five   operational before we pick him   up. The damage he caused during   his escape was considerable.,"""The Hunted"""
87,PICARD,   We will await your signal.,"""The Hunted"""
88,NAYROK,   I appreciate your patience. Our   prison psychologist has   recommended you keep Danar fully   sedated until he's ready for   transport.,"""The Hunted"""
89,PICARD,   He's in our highest security   detention area... there shouldn't   be any more problems...,"""The Hunted"""
90,NAYROK,"   Do not relax your security for   one moment, Captain. He is   extremely violent and cunning,   as you already know, Commander   Riker. I'm so pleased to learn   your injuries are not serious.   My most sincere apologies...","""The Hunted"""
91,RIKER,"   None required, Prime Minister.","""The Hunted"""
92,NAYROK,   I will send a transport vessel   to retrieve him as soon as   possible. Nayrok out.,"""The Hunted"""
93,RIKER,"   Have you run a diagnostic on the   sensors, Data?","""The Hunted"""
94,DATA,"   Yes, Commander. There is nothing   wrong with the ship's sensors.   The reason that we did not sense   any life signs aboard the escape   vessel is because the prisoner   has no life signs.","""The Hunted"""
95,RIKER,"   Computer, identify the occupant   in the detention cell.","""The Hunted"""
96,COMPUTER,   The detention cell is vacant at   this time.,"""The Hunted"""
97,PICARD,   Can he be some sort of android?,"""The Hunted"""
98,DATA,"   Our sensors can identify   artificial lifeforms, Captain.   Apparently, he is capable of   deceiving the sensors.","""The Hunted"""
99,TROI,   Are you all right?,"""The Hunted"""
100,ROGA,   What is this ship?,"""The Hunted"""
101,TROI,   You are on board the USS   Enterprise.,"""The Hunted"""
102,ROGA,   A war vessel?,"""The Hunted"""
103,TROI,   A Federation starship.,"""The Hunted"""
104,ROGA,       Federation...,"""The Hunted"""
105,TROI,   We were orbiting Angosia when you   escaped from Lunar Five.,"""The Hunted"""
106,ROGA,   It seems I am a victim of my own   bad timing.       And you are the keeper of this   jail?,"""The Hunted"""
107,TROI,   I am Deanna Troi. Ship's   counselor.,"""The Hunted"""
108,ROGA,"   ""Counselor"". Too bad. I'd rather   you were a jailer to keep me   company during my return trip.","""The Hunted"""
109,ROGA,       I assume that we are returning   to Lunar Five...,"""The Hunted"""
110,TROI,"   That terrifies you, doesn't it?","""The Hunted"""
111,ROGA,"   I have just killed two men to get   out of there, Counselor.       I am fully capable of killing you   too. A terrifying thought, isn't   it? Even to me.","""The Hunted"""
112,TROI,   Do they mistreat you there?,"""The Hunted"""
113,ROGA,"   Not at all. I am comfortable,   well fed and housed.       The Angosians take good care of   their... prisoners. I am simply   not allowed to ever leave.","""The Hunted"""
114,ROGA,"       Do you visit all the prisoners,   Counselor? Are you a specialist   in criminal behavior? Or am I   just an interesting specimen that   landed on your ship like an insect   to be studied under your   microscope...","""The Hunted"""
