,character,quote,episode
0,HOLO-GUINAN,"   I don't want any trouble,   Barlcay...","""Hollow Pursuits"""
1,BARCLAY,   Trouble? Why would there be   trouble?,"""Hollow Pursuits"""
2,HOLO-GUINAN,   There's always trouble when you   come in here.,"""Hollow Pursuits"""
3,HOLO-GEORDI,"   You're on duty, Lieutenant.","""Hollow Pursuits"""
4,BARCLAY,   Is that a fact?,"""Hollow Pursuits"""
5,HOLO-GEORDI,"   It is, and you'll observe it.   Get back to your post.","""Hollow Pursuits"""
6,BARCLAY,"   Look, pal. Do me a favor. Take   yourself and your holier-than-thou   attitude and get out of my life.","""Hollow Pursuits"""
7,HOLO-RIKER,"   This is insubordination, Mister   Barclay.","""Hollow Pursuits"""
8,BARCLAY,   So punish me.,"""Hollow Pursuits"""
9,HOLO-RIKER,       Security to Ten-Forward!,"""Hollow Pursuits"""
10,BARCLAY,"   ""Insubordination.""","""Hollow Pursuits"""
11,BARCLAY,"   Riker, you're nothing but a pretty   mannequin dressed up in a fancy   uniform. You're full of hot air,   and if Picard has a problem with   me, he can come and tell me   himself...","""Hollow Pursuits"""
12,HOLO-TROI,"   I feel your confidence, your   arrogant resolve. It excites me.","""Hollow Pursuits"""
13,GEORDI,"   Lieutenant Barclay, report to   Cargo Bay Five now.","""Hollow Pursuits"""
14,BARCLAY,"       This will have to wait, darling.       Um... Be right there.       Freeze program. Exit.","""Hollow Pursuits"""
15,BARCLAY,   Save program.,"""Hollow Pursuits"""
16,GEORDI,"   I just don't know what to do with   him. He's always late, never   gives his best effort, always   slides by... I can't deal with   it anymore. How does a guy like   him ever make it through the   Academy...","""Hollow Pursuits"""
17,RIKER,       I think it's time we talked to   the captain about Broccoli.       That's what Wesley calls him.   Keep it to yourself.,"""Hollow Pursuits"""
18,GEORDI,   It fits.,"""Hollow Pursuits"""
19,DUFFY,"   A broken seal, Commander.","""Hollow Pursuits"""
20,GEORDI,   You better destroy it. Those   samples will be tainted.,"""Hollow Pursuits"""
21,GEORDI,"   Is it a problem for you to report   to duty on time, Lieutenant?","""Hollow Pursuits"""
22,BARCLAY,"   Problem? Nossir. I'm... I'm very   sorry, sir... it's just... I had   a very important communique...   it required my immediate response   and...","""Hollow Pursuits"""
23,GEORDI,"       I don't want to hear it... we're   having intermittent problems with   the anti-grav unit, see what you   can do...","""Hollow Pursuits"""
24,RIKER,"   Mister Barclay, I'm tired of   seeing your name on report.       I don't know what you got away   with on your last posting, but   this is the Enterprise. We set   a different standard here.   Understood?","""Hollow Pursuits"""
25,BARCLAY,   Understood... sir.,"""Hollow Pursuits"""
26,PICARD ,"   Captain's log, Stardate 43807.4.   We are taking on a load of special   tissue samples donated by the   Mikulaks for shipment to Nahmi   Four. The samples could prove   vital to the containment of an   outbreak of Correllium Fever on   that world.","""Hollow Pursuits"""
27,BARCLAY,       Everything looks... it looks   normal to me...,"""Hollow Pursuits"""
28,O'BRIEN,   Dammit..,"""Hollow Pursuits"""
29,BARCLAY,   I... I don't understand...,"""Hollow Pursuits"""
30,GEORDI,       La Forge to Engineering... I'll   need more people in Cargo Bay   Five... anyone you can spare.   Out.,"""Hollow Pursuits"""
31,GEORDI,"   We could use a hand, Mister   Barclay...","""Hollow Pursuits"""
32,BARCLAY,"   I'll... I'll disassemble it later,   Commander... it shouldn't do   that... well, of course, it   shouldn't do that... I mean...   well, it shouldn't do that.","""Hollow Pursuits"""
33,PICARD,   I'm not accustomed to seeing an   unsatisfactory rating for one of   my crew.,"""Hollow Pursuits"""
34,RIKER,   I guess the issue is whether   Mister Barclay is Enterprise   material.,"""Hollow Pursuits"""
35,PICARD,"       I assume from your request for   his transfer that you don't think   he is, Commander...","""Hollow Pursuits"""
36,GEORDI,   I hate to say it... I always   thought I could work with   anyone... but I just can't stand   the guy. Broccoli makes me   nervous... he makes everyone   nervous...,"""Hollow Pursuits"""
37,PICARD,   Broccoli?,"""Hollow Pursuits"""
38,RIKER,   Young Mister Crusher started it.   I'm afraid it's caught on.,"""Hollow Pursuits"""
39,PICARD,"   Let's get it uncaught, shall we?","""Hollow Pursuits"""
40,PICARD,"   By all indications, Barclay has   served honorably in Starfleet for   many years. His rating aboard   the Zhukov was satisfactory...   I recall Captain Gleason speaking   quite highly of him before his   transfer...","""Hollow Pursuits"""
41,RIKER,"   In retrospect, I wonder if Captain   Gleason wasn't buttering our bread   a little...     ","""Hollow Pursuits"""
42,,,"""Hollow Pursuits"""
43,RIKER ,   He knew we were looking for a   diagnostic engineer.,"""Hollow Pursuits"""
44,RIKER,   I've reviewed Barclay's   psychological profile. He's   always had seclusive tendencies...   it was noted at the Academy more   than once...,"""Hollow Pursuits"""
45,PICARD,   And yet he chose this way of life;   he's made the same commitment to   Starfleet that we all have...       It's easy to transfer our problem   to someone else. Too easy.,"""Hollow Pursuits"""
46,GEORDI,"   Captain, it's not like I haven't   tried...","""Hollow Pursuits"""
47,PICARD,   Try harder.,"""Hollow Pursuits"""
48,PICARD,   He's on your team. Manage him.   Pull him in. Find ways to help   him make a positive contribution.   Get to know the man. Make him   your best friend.,"""Hollow Pursuits"""
49,GEORDI,"   With all respect, sir... my best   friend? I can barely tolerate   being in the same room with the   man...","""Hollow Pursuits"""
50,PICARD,"   I suggest you put your personal   discomfort with him aside,   Commander. Dismissed.","""Hollow Pursuits"""
51,GEORDI,       My best friend.,"""Hollow Pursuits"""
52,GEORDI,"   Hey, Reg...","""Hollow Pursuits"""
53,GEORDI,"   Uh, how's it going?","""Hollow Pursuits"""
54,BARCLAY,"   Oh, it's... I still haven't traced   the problem, Commander...","""Hollow Pursuits"""
55,GEORDI,       That's okay. No rush. Take your   time.,"""Hollow Pursuits"""
56,BARCLAY,   I've... I've been planning to run   diagnostics on the graviton   invertor circuits...,"""Hollow Pursuits"""
57,GEORDI,"   Smart plan... well, I'd say we're   in good hands here...","""Hollow Pursuits"""
58,BARCLAY,       I'll get a preliminary report to   you...,"""Hollow Pursuits"""
59,GEORDI,   ...whenever.,"""Hollow Pursuits"""
60,BARCLAY,       Before the end of the day.,"""Hollow Pursuits"""
61,GEORDI,"   Fine. And say, Reg, how about   sitting in on the mission briefing   with my senior officers in the   morning...","""Hollow Pursuits"""
62,BARCLAY,   The briefing? Me?,"""Hollow Pursuits"""
63,GEORDI,   I'd just like your input...,"""Hollow Pursuits"""
64,BARCLAY,"   On what? I mean, should I prepare   something...","""Hollow Pursuits"""
65,GEORDI,   No... no... just be there. Eight   hundred hours.,"""Hollow Pursuits"""
66,BARCLAY,"   I'll be on time, sir.","""Hollow Pursuits"""
67,GEORDI,   Good.,"""Hollow Pursuits"""
68,GEORDI,"   Morning. Start your brains, and   let's do it.","""Hollow Pursuits"""
