,character,quote,episode
0,WILLIAMS,"   Brother John Bates, is not that   the morning which breaks yonder?","""The Defector"""
1,BATES,   I think it be. But we have no   great cause to desire the approach   of the day.,"""The Defector"""
2,WILLIAMS,   Who goes there?,"""The Defector"""
3,DATA ,   A friend.,"""The Defector"""
4,WILLIAMS,   Under what captain serve you?,"""The Defector"""
5,DATA ,   Under Sir Thomas Erpingham.,"""The Defector"""
6,WILLIAMS,"   I pray you, what thinks he of   our estate?","""The Defector"""
7,DATA ,"   Even as men wrecked upon a sand,   that look to be washed off the   next tide.","""The Defector"""
8,BATES,   He hath not told his thought to   the king?,"""The Defector"""
9,DATA ,"   No, nor it is not meet he should.   For though I speak it to you, I   think the king is but a man, as   I am. The violet smells to him   as it doth to me, in his   nakedness he appears but a man.   Therefore, his fears, out of   doubt, be of the same relish as   ours are. Yet, no man should   possess him with any appearance   of fear, lest he, by showing it,   should dishearten his army.","""The Defector"""
10,BATES,"   He may show what outward courage   he will, but I believe, as cold   a night as 'tis, he could wish   himself in Thames up to the neck.","""The Defector"""
11,DATA ,"   Methinks I could not die anywhere   so contented as in the king's   company, his cause being just and   his quarrel honorable.","""The Defector"""
12,WILLIAMS,   That's more than we know.,"""The Defector"""
13,BATES,"   Aye, or more than we should seek   after. If his cause be wrong,   our obedience to the king wipes   the crime of it out of us.","""The Defector"""
14,WILLIAMS,"   But if the cause be not good, the   king himself hath a heavy   reckoning to make when all those   legs and arms and heads chopped   off in a battle shall join   together at the latter day and   cry all ""We died at such a place""   -- some swearing, some crying for   a surgeon, some upon their wives   left poor behind them. I am   afeared there are few die well   that die in a battle.","""The Defector"""
15,DATA ,"   The king is not bound to answer   the particular endings of his   soldiers, the father of his son,   nor the master of his servant.","""The Defector"""
16,PICARD,"   Delightful... you're getting   better and better, Data...","""The Defector"""
17,DATA,   Freeze program.,"""The Defector"""
18,DATA,"       Thank you, sir. I plan to study   the performances of Olivier,   Branagh, Shapiro, Kullnark...","""The Defector"""
19,PICARD,"       Data, you are here to learn about   the human condition... and there's   no better way than embracing   Shakespeare... but you must   discover it through your own   performance, not by imitating...","""The Defector"""
20,RIKER,   Riker to Picard...,"""The Defector"""
21,PICARD,"   Yes, Number One.","""The Defector"""
22,RIKER,   Sensors are picking up an   unidentified craft in the Neutral   Zone... It's heading toward   Federation space...,"""The Defector"""
23,PICARD,"   On our way... Picard out. We'll   get to the next act later, Data...   computer, end program.","""The Defector"""
24,DATA,"   It is interesting that a king   could pass as a commoner, but why   should he wish to? If he is   the leader... should he not be   leading... ?","""The Defector"""
25,PICARD,"   But listen to what Shakespeare   is telling you about the man,   Data... a king who has a true   feeling for his soldiers must   share their fears on the day of   battle.","""The Defector"""
26,DATA,"   Sir, will I be able to schedule   a performance for the crew in   the near future?","""The Defector"""
27,PICARD,"   Let's... not rush it, shall we... ?","""The Defector"""
28,RIKER,"   Outpost Sierra Six confirms our   readings, sir. They identify it   as a Romulan scout ship... bearing   two-seven-zero mark one-four.","""The Defector"""
29,PICARD,   A scout ship? Curious. What   would bring a scout ship into the   Neutral Zone?,"""The Defector"""
30,WORF,"   Shall we transmit a warning to   withdraw, sir... ?","""The Defector"""
31,PICARD,   Open hailing frequencies.,"""The Defector"""
32,WORF,"   Aye, sir.    (stops and looks up in     surprise)   Captain, the Romulan is hailing   us.","""The Defector"""
33,PICARD,   Visual... ?,"""The Defector"""
34,WORF,   Not within range yet...,"""The Defector"""
35,PICARD,   Open channel...,"""The Defector"""
36,SETAL,   Federation ship... do you read...   I require urgent assistance...,"""The Defector"""
37,PICARD,   This is Captain Jean-Luc Picard   of the...,"""The Defector"""
38,SETAL,       Federation ship... please help   me... requesting asylum... under   pursuit...,"""The Defector"""
39,RIKER,   Pursuit... ?,"""The Defector"""
40,WORF,"   Visual contact. On screen,   Captain...","""The Defector"""
41,PICARD,   Red Alert. Open a channel to   the warship.,"""The Defector"""
42,RIKER,       Come to intercept course. Keep   us out of the Neutral Zone.,"""The Defector"""
43,WORF,   Channel is open.,"""The Defector"""
44,RIKER,       When will the scout cross into   Federation territory?,"""The Defector"""
45,DATA,   Forty-one seconds...,"""The Defector"""
46,PICARD,"   Romulan warbird, you have crossed   into the Neutral Zone, and are   engaged in hostile action.   Explain yourself and your intent.","""The Defector"""
47,WORF,"   No reply, sir.","""The Defector"""
48,PICARD,   Hail the scout.,"""The Defector"""
49,WORF,   Responding.,"""The Defector"""
50,PICARD,   On screen.,"""The Defector"""
51,SETAL,"   Please, you must help me...","""The Defector"""
52,PICARD,   We are moving to intercept...   maintain your course and power...,"""The Defector"""
53,DATA,"   Scout ship is severely damaged,   Captain. Engines inoperative,   shields down.","""The Defector"""
54,RIKER,   Position?,"""The Defector"""
55,DATA,       Coordinates one-four-zero by   two-zero-five.,"""The Defector"""
56,RIKER,       Federation space.,"""The Defector"""
57,PICARD,"   Bring us to within five kilometers   of the scout. Mister La Forge,   prepare to extend our shields   around that ship.","""The Defector"""
58,INTERCUT:,,"""The Defector"""
59,GEORDI,"   Captain, at that range, the   shields won't be able to take much   punishment.","""The Defector"""
60,DATA,"   Five kilometers, Commander.","""The Defector"""
61,RIKER,   All stop.,"""The Defector"""
62,PICARD,   Extend shields.,"""The Defector"""
63,GEORDI,"   Shields in place... we've got the   scout ship, Captain...","""The Defector"""
64,WORF,"   Weapons on the warbird are fully   powered, sir.","""The Defector"""
65,RIKER,   Lock phasers...,"""The Defector"""
66,PICARD,   Open a channel.,"""The Defector"""
67,WORF,   Ready.,"""The Defector"""
68,PICARD,"   Romulan warbird, you are now in   Federation territory... if you   do not immediately withdraw...","""The Defector"""
69,RIKER,   No argument?,"""The Defector"""
70,WORF,"   Warbird has re-entered the Neutral   Zone, Captain. Heading for   Romulan territory.       Cowards.","""The Defector"""
71,DATA,"   Massive power failure on the scout   ship, sir. All systems are going   off-line.       Including life-support.","""The Defector"""
72,PICARD,"       Transporter Room Two, prepare to   beam the occupant of the Romulan   ship aboard.","""The Defector"""
73,RIKER,    (indicating he should     follow)   Mister Worf.,"""The Defector"""
74,PICARD,"   Data, lock onto the scout ship   and take it in tow... cancel Red   Alert.","""The Defector"""
75,RIKER,   Energize.,"""The Defector"""
76,SETAL,   I must see your captain   immediately.,"""The Defector"""
77,RIKER,"       We'll take you to Sickbay, after   that...","""The Defector"""
78,SETAL,       This cannot wait. I have   information vital to your   survival.,"""The Defector"""
79,PICARD ,"   Captain's log, Stardate 43462.5.   We have beamed aboard an apparent   Romulan defector. He claims to   be a low ranking logistics officer   with extraordinary information   about a new secret offensive.","""The Defector"""
80,SETAL,   The humiliating defeat at the   Battle of Cheron has not been   forgotten. The new leaders have   vowed to discard the treaty and   claim the Neutral Zone. Nelvana   Three is only the first step.,"""The Defector"""
81,RIKER,       And you're saying a whole base   is already established there... ?,"""The Defector"""
82,SETAL,"       In forty-eight hours, the reactor   core will be on line.","""The Defector"""
83,RIKER,       The Federation sensors that   monitor the Neutral Zone just...   missed it... ?,"""The Defector"""
84,SETAL,   It would seem so.,"""The Defector"""
85,WORF,   Unlikely.,"""The Defector"""
86,SETAL,"   In two days, you will have a fleet   of Romulan warbirds... within   striking distance of fifteen   Federation sectors...","""The Defector"""
87,WORF,   The Federation will not permit   it...,"""The Defector"""
88,SETAL,"       Then it is war we're talking   about, isn't it?       Destroy the base now and the   threat is over.","""The Defector"""
