,character,quote,episode
0,PICARD,"   I don't know why they have to do   this every year. In fact, I   thought last year the teachers   agreed not to do this anymore.","""The Pegasus"""
1,TROI,   Captain Picard Day is one of the   children's favorite school   activities. They look forward to   it all year.,"""The Pegasus"""
2,PICARD,   Why does it have to be me?,"""The Pegasus"""
3,TROI,   You're the Captain... children   look up to you... you're a role   model for them.,"""The Pegasus"""
4,PICARD,   Their perception of me is a   little... exaggerated.,"""The Pegasus"""
5,RIKER,"    (using doll and     imitating voice)   ""I don't know... I think this   bears a certain resemblance.   Wouldn't you agree, Number One?""","""The Pegasus"""
6,PICARD,       Don't you have something else to   do?,"""The Pegasus"""
7,RIKER,       I'll be on the Bridge.,"""The Pegasus"""
8,TROI,"   The finalists will be here in half   an hour. You have to pick first,   second and third place and four   honorable mentions.","""The Pegasus"""
9,WORF,   Worf to Captain. Incoming   transmission from Admiral   Blackwell. It is coded priority   one.,"""The Pegasus"""
10,PICARD,"       Put it through.       Excuse me, Counselor.","""The Pegasus"""
11,PICARD,       Admiral.,"""The Pegasus"""
12,BLACKWELL,   Captain. What is your status?,"""The Pegasus"""
13,PICARD,"   We're conducting an energy output   study of the Mekoria Quasar. All   systems normal, the ship is fully   operational.","""The Pegasus"""
14,BLACKWELL,   Good. I'm postponing the quasar   study for the moment. The   Enterprise is to rendezvous with   the starship Crazy Horse in sector   one-six-zero-seven immediately.   You're authorized to exceed warp   speed limitations for the duration   of this assignment.,"""The Pegasus"""
15,PICARD,   I understand. What is our   assignment?,"""The Pegasus"""
16,BLACKWELL,   I'd prefer not to discuss it over   subspace channels. The Crazy   Horse will be carrying someone   from Starfleet Intelligence...   he'll brief you when he arrives.,"""The Pegasus"""
17,PICARD,   Very well.,"""The Pegasus"""
18,BLACKWELL,"   ""Captain Picard Day?""","""The Pegasus"""
19,PICARD,   Oh... yes. It's for the   children... I'm a... role model.,"""The Pegasus"""
20,BLACKWELL,   I'm sure you are. Starfleet out.,"""The Pegasus"""
21,RIKER,   So who won the contest?,"""The Pegasus"""
22,PICARD,   Paul Menegay -- seven years old.   He did an interesting clay   sculpture of my head.,"""The Pegasus"""
23,RIKER,   Is that the lumpy one with the   orange skin?,"""The Pegasus"""
24,PICARD,"   Yes.       Oh, you'll be interested to know   that I've arranged for a Commander   Riker day next month. I'm even   considering making an entry   myself.","""The Pegasus"""
25,RIKER,       Great.,"""The Pegasus"""
26,PICARD,   Energize.,"""The Pegasus"""
27,PRESSMAN,   Wil. Bet you never thought you'd   see me again.,"""The Pegasus"""
28,RIKER,"   It's... good to see you, sir.","""The Pegasus"""
29,PRESSMAN,       Sure it is. You look like you're   about to faint.,"""The Pegasus"""
30,RIKER,   No... it's just been so long   and...,"""The Pegasus"""
31,RIKER,"       I'm sorry. Captain Jean-Luc   Picard, Admiral Erik Pressman.","""The Pegasus"""
32,PICARD,"   Pressman? Oh, of course. You   were Wil's first commanding   officer... on the Pegasus.","""The Pegasus"""
33,PRESSMAN,"   That's right. As a matter of   fact, it's the Pegasus which has   brought me here.","""The Pegasus"""
34,RIKER,   Sir?,"""The Pegasus"""
35,PRESSMAN,"   The Pegasus is still out there,   Wil. The Romulans found her.","""The Pegasus"""
36,PRESSMAN,"   As some of you may know, the   starship Pegasus was lost in this   sector twelve years ago along with   most of its crew. I was the   captain and Commander Riker here   was my helmsman.","""The Pegasus"""
37,PICARD,   I remember reading about it. The   ship was destroyed by a... warp   core breach as I recall.,"""The Pegasus"""
38,RIKER,"   That's right. The Captain and I,   along with seven others managed to   get to an escape pod before the   breach became critical.","""The Pegasus"""
39,PRESSMAN,"   From space, we saw what appeared   to be a matter/anti-matter   explosion which vaporized the   ship.","""The Pegasus"""
40,RIKER,"   No wreckage was ever found, so   Starfleet officially listed the   ship as destroyed.","""The Pegasus"""
