,character,quote,episode
0,GEORDI,   Deflector power approaching   maximum limits. Energy discharge   in... six seconds...,"""The Best of Both Worlds, Part II"""
1,WORF,   The Borg ship is undamaged.,"""The Best of Both Worlds, Part II"""
2,SHELBY,   Impossible...,"""The Best of Both Worlds, Part II"""
3,COMPUTER,   Warning. Warp reactor core   primary coolant failure.,"""The Best of Both Worlds, Part II"""
4,GEORDI,"   Can't maintain it much longer,   Commander...","""The Best of Both Worlds, Part II"""
5,COMPUTER,   Warning. Exceeding reaction   chamber thermal limit.,"""The Best of Both Worlds, Part II"""
6,RIKER,   Cease fire.,"""The Best of Both Worlds, Part II"""
7,GEORDI,   Shutting down warp engines.,"""The Best of Both Worlds, Part II"""
8,RIKER,       They couldn't have adapted that   quickly...,"""The Best of Both Worlds, Part II"""
9,LOCUTUS,       The knowledge and experience of   the human Picard is part of...   us... now. It has prepared us...   for all possible courses of   action. Your resistance is   hopeless...       ... Number One.,"""The Best of Both Worlds, Part II"""
10,RIKER ,"   First Officer's Log, Stardate   43999.1. The Borg ship has   resumed its course toward Earth.   We are unable to pursue pending   repairs to the Enterprise.","""The Best of Both Worlds, Part II"""
11,RIKER,"   ... and as we anticipated, the   blast burned out the main   navigational deflector... we also   have damage to shields and the   reactor core.","""The Best of Both Worlds, Part II"""
12,GEORDI,"   We should be back up in eight to   twelve hours, Admiral.","""The Best of Both Worlds, Part II"""
13,HANSON,"   Well, we'll miss you at the party.","""The Best of Both Worlds, Part II"""
14,RIKER,"   The Enterprise will be there, sir.   Maybe a little late. But we'll   be there.","""The Best of Both Worlds, Part II"""
15,HANSON,"   Your engagements gave us valuable   time. We've mobilized a fleet   of forty starships at Wolf 359   and that's just for starters...   the Klingons are sending   warships... Hell, we've even   thought about opening   communications with the   Romulans...","""The Best of Both Worlds, Part II"""
16,SHELBY,"   You realize, Admiral, that with   the assistance of Picard, the Borg   will be prepared for your   defenses.","""The Best of Both Worlds, Part II"""
17,HANSON,"   Lieutenant... a few years ago,   I watched a freshman cadet pass   four upper classman on the last   hill of the forty kilometer run   on Danula Two... damndest thing   I ever saw... only freshman to   ever win the Academy marathon.   I made it my business to get to   know that young fellow... got to   know him very very well... I'll   tell ya, I've never known anyone   with more drive, determination   or more courage than Jean-Luc   Picard. There's no way in hell   he would assist the Borg. I   want that clear.","""The Best of Both Worlds, Part II"""
18,SHELBY,"   Of course, Admiral...","""The Best of Both Worlds, Part II"""
19,HANSON,   He is a casualty of war.,"""The Best of Both Worlds, Part II"""
20,BEVERLY,   Then... we have abandoned all hope   of recovering him.,"""The Best of Both Worlds, Part II"""
21,HANSON,"    (reluctantly     acknowledges)   In less than twenty-four hours,   this armada's going to hit that   Borg vessel with everything we   can muster. Either they survive   or we do. As for Picard...       A great man has been lost. Your   Captain. My friend.","""The Best of Both Worlds, Part II"""
22,HANSON,   Commander Riker... I hereby   promote you to the field   commission of Captain.,"""The Best of Both Worlds, Part II"""
23,HANSON,   The Enterprise is your ship now.   Congratulations. I wish the   circumstances were different.,"""The Best of Both Worlds, Part II"""
