,character,quote,episode
0,PICARD ,"   Captain's log, Stardate 44143.7.   Due to a medical emergency, we   have been forced to cut short a   two-day liberty on Ogus Two and   set course for Starbase   Four-One-Six.","""Brothers"""
1,PICARD ,       It seems a young man's practical   joke has come dangerously close   to a lethal conclusion.,"""Brothers"""
2,RIKER,"   Well Mister Potts, why don't we   start at the beginning?","""Brothers"""
3,JAKE,"       It was a joke, sir. I just meant   to scare him.","""Brothers"""
4,RIKER,"   From the beginning, please.","""Brothers"""
5,JAKE,"    (nervously and very     quickly)   We were at the arcade, sir. I   brought this balloon with me,   filled with red pillion dye. You   see, Willie is always making fun   of me. I figured I'd get him   back. I only meant to scare him.","""Brothers"""
6,TROI,"   Slow down, Jake.","""Brothers"""
7,JAKE,"       We programmed the game for an   ordinary laser duel. You know,   twenty-one points. Four points   for a...","""Brothers"""
8,RIKER,       I'm familiar with the game. Go   on.,"""Brothers"""
9,JAKE,"   We went out to the forest behind   the east arcade. I told Willie   that his laser pistol looked kind   of funny, almost like a real one.   When I went behind the trees, I   put the balloon into my vest, and   then...","""Brothers"""
10,RIKER,   So you made your nine year-old   brother think he killed you?,"""Brothers"""
11,JAKE,"   Yes, sir.","""Brothers"""
12,RIKER,   And then he ran away.,"""Brothers"""
13,JAKE,"   Yes, sir.","""Brothers"""
14,RIKER,   And while he was hiding he ate   the fruit of a cove palm.,"""Brothers"""
15,JAKE,   It was just a joke. I didn't...,"""Brothers"""
16,RIKER,   I assume you are aware of the   infectious nature of the parasites   which inhabit cove palms?,"""Brothers"""
17,JAKE,"   I am now, sir.","""Brothers"""
18,RIKER,   Are you familiar with the   condition upon which I agreed to   allow you two boys to remain on   the Enterprise when your parents   went on sabbatical?,"""Brothers"""
19,JAKE,"   That we'd stay out of trouble,   sir.","""Brothers"""
20,RIKER,"       Mister Data.       Think about it Mister Potts. And   while you're at it, think about   what might have happened had we   not been this close to a starbase   medical facility.","""Brothers"""
21,RIKER,   Have you contacted the boy's   parents?,"""Brothers"""
22,DATA,"       They are fully aware of the   situation, sir.","""Brothers"""
23,RIKER,"   Good, escort this young man to   the quarantine anteroom. Perhaps   he'll be helpful in lifting his   brother's spirits.","""Brothers"""
24,DATA,"   Yes, sir.","""Brothers"""
25,RIKER,"       Please don't think that you have   heard the last of this, Mister   Potts.","""Brothers"""
26,JAKE,"   No, sir. I mean yes, sir.","""Brothers"""
27,TROI,   He's very frightened.,"""Brothers"""
28,RIKER,"   As well he should be. I've never   been a proponent of practical   jokes. More often than not, they   have unfortunate results.","""Brothers"""
29,TROI,   I wouldn't be surprised if this   was his last practical joke for   a long while.,"""Brothers"""
30,RIKER,"   I'm more concerned with his   brother's future at the moment,   Counselor.","""Brothers"""
31,DATA,   Our Sickbay does have the facility   to isolate parasitic proto-viruses   but not in a favorable time frame   for your brother.,"""Brothers"""
32,JAKE,       He really could die.,"""Brothers"""
33,DATA,"   Fortunately we are only two days   from Starbase Four-One-Six, and   their laboratory can...","""Brothers"""
34,JAKE,   Can what sir?,"""Brothers"""
35,JAKE,"   Their laboratory can do what,   Commander?","""Brothers"""
36,JAKE,"       Sir, I know I made a mistake...   I can tell you're angry... but   if you're not going to talk to   me...","""Brothers"""
37,RIKER,"   Back so soon, Mister Data?","""Brothers"""
38,GEORDI,   La Forge to bridge.,"""Brothers"""
