,character,quote,episode
0,PICARD ,   Captain's Log: Stardate 47751.2.   The Enterprise has arrived at   Starbase Three One Zero for a   meeting with Fleet Admiral   Necheyev. This visit will also   give us the opportunity to pick up   a... member of the family.,"""Journey's End"""
1,BEVERLY,"   Here you go... your very own   quarters.       And they're as far away from mine   as possible, so you won't even   have to see me if you don't want   to.","""Journey's End"""
2,WESLEY,   Mom... you know that's not why I   asked for my own quarters this --,"""Journey's End"""
3,BEVERLY,"       No, no. You don't have to   explain. There comes a time in a   young man's life when he doesn't   want to stay with his poor old   mother... I understand.","""Journey's End"""
4,WESLEY,       I'll come visit you in the old   Doctor's Home every Sunday.,"""Journey's End"""
5,WESLEY,   Come in.,"""Journey's End"""
6,GEORDI,   Is there a runaway cadet in here?,"""Journey's End"""
7,DATA,"   If so, we may have to call   security.","""Journey's End"""
8,GEORDI,"   Welcome back, Wes.","""Journey's End"""
9,WESLEY,   Thanks.,"""Journey's End"""
10,DATA,"   I was, of course, not serious   about calling security. It was a   joke.","""Journey's End"""
11,WESLEY,"   I got it, Data.","""Journey's End"""
12,GEORDI,   So... how's life at the Academy?,"""Journey's End"""
13,WESLEY,   Great... just great.       But it's... good to have a break.,"""Journey's End"""
14,GEORDI,   So do you plan on just lounging   around while we have work to do?,"""Journey's End"""
15,WESLEY,"   I'm... sure I can find some time   to help, sir.","""Journey's End"""
16,GEORDI,"   Enjoy your time off, you've earned   it.","""Journey's End"""
17,WESLEY,   Thanks.,"""Journey's End"""
18,BEVERLY,   Well... I think we better let him   settle in.,"""Journey's End"""
19,GEORDI,"   Good idea. Don't sleep your whole   vacation away, Wes.","""Journey's End"""
20,DATA,   Good-bye.,"""Journey's End"""
21,WESLEY,   See you later.,"""Journey's End"""
22,BEVERLY,"   It's really good to have you home,   Wesley. Really.","""Journey's End"""
23,WESLEY,"   Thanks, Mom.","""Journey's End"""
24,RIKER,   Admiral Necheyev's just beamed   aboard. Worf's escorting her up   here now.,"""Journey's End"""
25,PICARD,   Good.,"""Journey's End"""
26,RIKER,   Earl Grey Tea... watercress   sandwiches... Bularian canapes...   Are you up for a promotion?,"""Journey's End"""
27,PICARD,   I'm trying to establish a new   relationship with the Admiral.   There's been a certain amount   of... tension between us in the   past.,"""Journey's End"""
28,RIKER,   Tension's not the word I would   use...,"""Journey's End"""
29,PICARD,   I'd like to get things started on   a better note this time. I want   to make her feel at ease... that   she's welcome aboard the   Enterprise...,"""Journey's End"""
30,RIKER,       I don't know why she wouldn't feel   welcome here.,"""Journey's End"""
31,PICARD,"   We don't have to like her Wil, we   simply have to follow her orders.   However, maintaining an atmosphere   of confrontation serves no   purpose.","""Journey's End"""
32,WORF,"   Admiral Necheyev, sir.","""Journey's End"""
33,PICARD,"       Admiral, welcome aboard the   Enterprise.","""Journey's End"""
34,NECHEYEV,   Thank you.       You two may leave.,"""Journey's End"""
35,RIKER,"   Thank you, Admiral.","""Journey's End"""
36,RIKER,   Captain...,"""Journey's End"""
37,PICARD,"   Admiral, may I offer you some --","""Journey's End"""
38,NECHEYEV,"       I'll come right to the point,   Captain. A situation has   developed on the Cardassian border   that...","""Journey's End"""
39,NECHEYEV,   Are those... Bularian canapes?,"""Journey's End"""
40,PICARD,"   Yes, as a matter of fact. I took   the liberty of speaking to your   aide, Commander Wrightwell... he   said you were quite fond of them.","""Journey's End"""
41,NECHEYEV,"   That was very... thoughtful,   Captain. Thank you.","""Journey's End"""
42,PICARD,   You were saying something about   the Cardassians I believe...,"""Journey's End"""
